time,gFx,gFy,gFz,TgF
0.002000,-0.2669,0.3593,0.9673,1.066
0.002000,-0.2556,0.3666,1.0054,1.100
0.003000,-0.2444,0.3646,1.0479,1.136
0.013000,-0.2278,0.3607,1.1002,1.180
0.014000,-0.2146,0.3602,1.1452,1.220
0.014000,-0.1911,0.3519,1.1990,1.264
0.015000,-0.1764,0.3456,1.2488,1.308
0.016000,-0.1525,0.3465,1.3021,1.356
0.017000,-0.1329,0.3377,1.3588,1.406
0.029000,-0.1212,0.3348,1.4155,1.460
0.030000,-0.1100,0.3280,1.4536,1.494
0.030000,-0.0875,0.3241,1.4805,1.518
0.030000,-0.0738,0.3275,1.5221,1.559
0.030000,-0.0572,0.3192,1.5577,1.591
0.033000,-0.0425,0.3172,1.5797,1.612
0.035000,-0.0357,0.3148,1.5876,1.619
0.038000,-0.0288,0.3099,1.5748,1.605
0.040000,-0.0303,0.3118,1.5573,1.588
0.043000,-0.0352,0.3128,1.5357,1.568
0.045000,-0.0543,0.3099,1.4996,1.532
0.048000,-0.0797,0.3026,1.4678,1.501
0.050000,-0.1022,0.3026,1.4336,1.469
0.052000,-0.1295,0.3079,1.3945,1.434
0.055000,-0.1520,0.2952,1.3671,1.407
0.057000,-0.1833,0.2986,1.3300,1.375
0.060000,-0.1916,0.2918,1.2894,1.336
0.062000,-0.2107,0.2908,1.2655,1.315
0.065000,-0.2224,0.2864,1.2312,1.284
0.067000,-0.2302,0.2810,1.1970,1.251
0.070000,-0.2395,0.2762,1.1726,1.228
0.074000,-0.2415,0.2762,1.1423,1.200
0.075000,-0.2336,0.2713,1.1213,1.177
0.077000,-0.2346,0.2825,1.0924,1.152
0.080000,-0.2258,0.2762,1.0856,1.143
0.082000,-0.2146,0.2776,1.0817,1.137
0.085000,-0.2151,0.2854,1.0822,1.140
0.099000,-0.2019,0.2903,1.0949,1.151
0.099000,-0.2092,0.2962,1.1144,1.172
0.100000,-0.1926,0.3050,1.1291,1.185
0.100000,-0.1818,0.3030,1.1535,1.206
0.100000,-0.1745,0.3172,1.1916,1.245
0.100000,-0.1647,0.3202,1.2141,1.266
0.102000,-0.1501,0.3153,1.2611,1.308
0.105000,-0.1427,0.3202,1.2987,1.345
0.107000,-0.1281,0.3128,1.3265,1.369
0.110000,-0.1246,0.3172,1.3432,1.386
0.112000,-0.1178,0.3138,1.3652,1.406
0.114000,-0.1100,0.3011,1.3964,1.433
0.117000,-0.1193,0.2840,1.4087,1.442
0.119000,-0.1193,0.2830,1.4087,1.442
0.122000,-0.1266,0.2615,1.4287,1.458
0.124000,-0.1452,0.2449,1.4517,1.479
0.127000,-0.1427,0.2371,1.4615,1.487
0.129000,-0.1452,0.2175,1.4820,1.505
