time,gFx,gFy,gFz,TgF
0.003000,0.3426,0.4048,0.8448,0.997
0.003000,0.3230,0.4063,0.8451,0.992
0.004000,0.3025,0.4063,0.8424,0.983
0.005000,0.2808,0.4087,0.8375,0.973
0.005000,0.2627,0.4082,0.8328,0.964
0.006000,0.2451,0.4080,0.8307,0.957
0.006000,0.2295,0.4065,0.8299,0.952
0.007000,0.2154,0.4075,0.8287,0.948
0.008000,0.2039,0.4100,0.8243,0.943
0.015000,0.1956,0.4102,0.8187,0.936
0.016000,0.1907,0.4129,0.8114,0.930
0.017000,0.1880,0.4153,0.8082,0.928
0.018000,0.1890,0.4180,0.8053,0.927
0.030000,0.1907,0.4217,0.8067,0.930
0.031000,0.1951,0.4246,0.8040,0.930
0.031000,0.2029,0.4248,0.8009,0.929
0.032000,0.2114,0.4261,0.7977,0.929
0.032000,0.2224,0.4239,0.7957,0.929
0.033000,0.2344,0.4224,0.7943,0.930
0.044000,0.2461,0.4224,0.7921,0.931
0.045000,0.2542,0.4251,0.7904,0.933
0.046000,0.2617,0.4253,0.7909,0.935
0.046000,0.2688,0.4270,0.7916,0.939
0.047000,0.2718,0.4278,0.7948,0.943
0.047000,0.2742,0.4266,0.7970,0.945
0.049000,0.2740,0.4280,0.7996,0.947
0.052000,0.2742,0.4273,0.8023,0.949
0.059000,0.2727,0.4278,0.8050,0.952
0.060000,0.2710,0.4285,0.8062,0.952
0.061000,0.2691,0.4292,0.8094,0.955
0.062000,0.2696,0.4292,0.8140,0.959
0.063000,0.2678,0.4305,0.8148,0.960
0.066000,0.2686,0.4307,0.8155,0.961
0.074000,0.2727,0.4297,0.8165,0.962
0.075000,0.2766,0.4283,0.8189,0.965
0.076000,0.2803,0.4266,0.8199,0.966
0.076000,0.2852,0.4263,0.8223,0.969
0.077000,0.2898,0.4234,0.8248,0.971
0.080000,0.2950,0.4222,0.8270,0.974
0.082000,0.3020,0.4209,0.8275,0.976
0.084000,0.3067,0.4229,0.8311,0.982
0.088000,0.3084,0.4227,0.8348,0.985
0.091000,0.3108,0.4236,0.8394,0.990
0.091000,0.3098,0.4246,0.8431,0.994
0.094000,0.3125,0.4253,0.8443,0.996
0.096000,0.3135,0.4268,0.8531,1.004
0.099000,0.3142,0.4270,0.8524,1.004
0.104000,0.3257,0.4224,0.8372,0.993
0.105000,0.3406,0.4190,0.8192,0.981
0.106000,0.3533,0.4178,0.8140,0.981
0.108000,0.3619,0.4190,0.8192,0.989
0.111000,0.3660,0.4222,0.8228,0.995
0.113000,0.3692,0.4236,0.8245,0.998
0.116000,0.3699,0.4253,0.8263,1.000
0.123000,0.3716,0.4275,0.8270,1.002
0.125000,0.3728,0.4305,0.8287,1.006
0.125000,0.3726,0.4329,0.8294,1.007
0.126000,0.3706,0.4356,0.8307,1.009
0.128000,0.3714,0.4385,0.8299,1.009
0.131000,0.3709,0.4368,0.8297,1.008
0.133000,0.3721,0.4341,0.8263,1.005
0.149000,0.3699,0.4324,0.8245,1.002
0.151000,0.3692,0.4324,0.8245,1.002
0.152000,0.3684,0.4312,0.8248,1.001
0.153000,0.3684,0.4297,0.8219,0.998
0.154000,0.3670,0.4285,0.8182,0.994
0.156000,0.3648,0.4295,0.8155,0.991
0.158000,0.3633,0.4314,0.8123,0.989
0.158000,0.3584,0.4312,0.8092,0.984
0.159000,0.3570,0.4305,0.8050,0.980
0.160000,0.3528,0.4319,0.8045,0.979
0.161000,0.3477,0.4322,0.8023,0.975
0.161000,0.3431,0.4319,0.8009,0.972
0.174000,0.3401,0.4322,0.8033,0.974
0.176000,0.3350,0.4305,0.8031,0.971
0.177000,0.3304,0.4302,0.8011,0.967
0.177000,0.3235,0.4292,0.8006,0.964
0.178000,0.3191,0.4280,0.7974,0.960
0.179000,0.3162,0.4283,0.7977,0.959
0.180000,0.3118,0.4244,0.7972,0.955
0.181000,0.3074,0.4224,0.7982,0.954
0.185000,0.3057,0.4205,0.7992,0.953
0.191000,0.2998,0.4217,0.8001,0.953
0.193000,0.2976,0.4197,0.7994,0.951
0.194000,0.2957,0.4185,0.7974,0.948
0.196000,0.2928,0.4178,0.7989,0.948
