time,gFx,gFy,gFz,TgF
0.003000,0.0132,0.7689,0.6344,0.997
0.003000,0.0161,0.7679,0.6344,0.996
0.003000,0.0332,0.7601,0.6271,0.986
0.003000,0.0352,0.7483,0.6188,0.972
0.004000,0.0567,0.7346,0.6071,0.955
0.004000,0.0567,0.7317,0.5909,0.942
0.008000,0.0650,0.7341,0.5997,0.950
0.008000,0.0694,0.7317,0.5724,0.932
0.011000,0.0782,0.7341,0.5758,0.936
0.013000,0.0885,0.7322,0.5645,0.929
0.023000,0.0914,0.7395,0.5582,0.931
0.023000,0.1056,0.7439,0.5440,0.928
0.023000,0.1202,0.7449,0.5333,0.924
0.024000,0.1383,0.7493,0.5103,0.917
0.026000,0.1457,0.7591,0.5083,0.925
0.028000,0.1652,0.7664,0.5000,0.930
0.030000,0.1755,0.7855,0.4878,0.941
0.033000,0.1911,0.8109,0.4824,0.963
0.036000,0.1916,0.8265,0.4751,0.972
0.038000,0.2048,0.8480,0.4819,0.997
0.041000,0.2043,0.8656,0.4770,1.009
0.043000,0.2087,0.8935,0.4839,1.037
0.045000,0.2200,0.9047,0.4766,1.046
0.051000,0.2239,0.9355,0.4766,1.074
0.053000,0.2263,0.9546,0.4849,1.094
0.054000,0.2292,0.9712,0.4849,1.109
0.060000,0.2341,0.9859,0.4873,1.124
0.060000,0.2322,1.0054,0.4951,1.145
0.061000,0.2209,1.0181,0.5000,1.156
0.063000,0.2146,1.0387,0.5020,1.173
0.069000,0.2072,1.0626,0.5108,1.197
0.070000,0.1848,1.0729,0.5103,1.202
0.070000,0.1808,1.0841,0.5118,1.212
0.073000,0.1603,1.0924,0.5162,1.219
0.075000,0.1486,1.1046,0.5166,1.229
0.078000,0.1305,1.1125,0.5201,1.235
0.080000,0.1154,1.1193,0.5235,1.241
0.083000,0.0997,1.1154,0.5279,1.238
0.085000,0.0904,1.1159,0.5416,1.244
0.088000,0.0890,1.1208,0.5357,1.245
0.090000,0.0826,1.1100,0.5372,1.236
0.093000,0.0802,1.1061,0.5460,1.236
0.095000,0.0782,1.1002,0.5577,1.236
0.098000,0.0684,1.0910,0.5655,1.231
0.100000,0.0670,1.0870,0.5616,1.225
0.103000,0.0621,1.0738,0.5699,1.217
0.105000,0.0601,1.0719,0.5689,1.215
0.108000,0.0518,1.0553,0.5748,1.203
0.110000,0.0411,1.0391,0.5733,1.188
0.113000,0.0420,1.0211,0.5841,1.177
0.116000,0.0381,1.0118,0.5807,1.167
0.118000,0.0406,0.9873,0.5807,1.146
0.120000,0.0318,0.9736,0.5728,1.130
0.122000,0.0225,0.9541,0.5763,1.115
0.125000,0.0259,0.9438,0.5665,1.101
0.127000,0.0318,0.9228,0.5689,1.085
0.133000,0.0337,0.9033,0.5636,1.065
0.134000,0.0323,0.8852,0.5543,1.045
0.135000,0.0425,0.8612,0.5538,1.025
0.137000,0.0474,0.8368,0.5489,1.002
0.140000,0.0508,0.8172,0.5328,0.977
0.142000,0.0538,0.7992,0.5254,0.958
0.145000,0.0587,0.7767,0.5357,0.945
0.147000,0.0655,0.7547,0.5225,0.920
0.150000,0.0635,0.7356,0.5152,0.900
0.152000,0.0645,0.7278,0.5157,0.894
0.155000,0.0640,0.7097,0.5034,0.872
0.157000,0.0655,0.6946,0.5088,0.863
0.160000,0.0616,0.6858,0.4956,0.848
0.162000,0.0572,0.6789,0.4854,0.837
0.165000,0.0596,0.6652,0.4819,0.824
