time,gFx,gFy,gFz,TgF
0.006000,0.3326,0.8131,0.5413,1.032
0.007000,0.3494,0.7928,0.5628,1.033
0.007000,0.3650,0.7723,0.5765,1.031
0.008000,0.3746,0.7586,0.5806,1.026
0.008000,0.3767,0.7481,0.5775,1.017
0.009000,0.3777,0.7440,0.5660,1.008
0.009000,0.3731,0.7442,0.5530,0.999
0.009000,0.3689,0.7462,0.5430,0.994
0.010000,0.3621,0.7513,0.5367,0.992
0.013000,0.3548,0.7596,0.5306,0.992
0.014000,0.3450,0.7689,0.5294,0.995
0.016000,0.3352,0.7794,0.5289,1.000
0.021000,0.3272,0.7887,0.5303,1.005
0.022000,0.3172,0.7945,0.5350,1.009
0.025000,0.3067,0.7996,0.5408,1.013
0.026000,0.2947,0.8011,0.5445,1.012
0.028000,0.2830,0.8026,0.5472,1.012
0.031000,0.2744,0.8028,0.5464,1.009
0.032000,0.2647,0.8009,0.5433,1.003
0.038000,0.2532,0.7984,0.5408,0.997
0.039000,0.2444,0.7965,0.5367,0.991
0.043000,0.2356,0.7938,0.5352,0.986
0.044000,0.2256,0.7916,0.5303,0.979
0.044000,0.2144,0.7904,0.5252,0.973
0.047000,0.2056,0.7896,0.5208,0.968
0.049000,0.1970,0.7926,0.5181,0.967
0.053000,0.1897,0.7926,0.5162,0.965
0.054000,0.1868,0.7935,0.5167,0.965
0.057000,0.1865,0.7945,0.5154,0.965
0.059000,0.1895,0.7923,0.5157,0.964
0.061000,0.1953,0.7896,0.5159,0.963
0.064000,0.2046,0.7874,0.5159,0.963
0.066000,0.2156,0.7857,0.5167,0.965
0.071000,0.2259,0.7835,0.5162,0.965
0.072000,0.2393,0.7789,0.5186,0.966
0.074000,0.2527,0.7733,0.5193,0.965
0.076000,0.2661,0.7681,0.5189,0.964
0.079000,0.2808,0.7628,0.5189,0.964
0.081000,0.2923,0.7611,0.5196,0.967
0.083000,0.3013,0.7589,0.5206,0.968
0.088000,0.3086,0.7586,0.5223,0.971
0.089000,0.3142,0.7601,0.5250,0.976
0.091000,0.3172,0.7638,0.5257,0.980
0.093000,0.3184,0.7662,0.5267,0.983
0.096000,0.3181,0.7681,0.5272,0.984
0.098000,0.3191,0.7674,0.5284,0.985
0.100000,0.3181,0.7689,0.5272,0.985
0.104000,0.3199,0.7677,0.5274,0.985
0.105000,0.3218,0.7669,0.5281,0.985
0.107000,0.3199,0.7657,0.5298,0.985
0.110000,0.3172,0.7669,0.5337,0.987
0.112000,0.3135,0.7684,0.5396,0.990
0.114000,0.3084,0.7708,0.5440,0.993
0.116000,0.3045,0.7733,0.5462,0.994
0.120000,0.2976,0.7745,0.5462,0.993
0.122000,0.2932,0.7779,0.5433,0.993
0.124000,0.2886,0.7804,0.5428,0.993
0.127000,0.2840,0.7843,0.5420,0.995
0.128000,0.2835,0.7884,0.5403,0.997
0.131000,0.2808,0.7911,0.5379,0.997
0.144000,0.2793,0.7945,0.5369,0.999
0.145000,0.2798,0.7950,0.5367,0.999
0.146000,0.2805,0.7960,0.5357,1.000
0.146000,0.2832,0.7960,0.5362,1.001
0.147000,0.2849,0.7930,0.5359,0.999
0.147000,0.2881,0.7943,0.5357,1.000
0.147000,0.2884,0.7921,0.5340,0.998
0.150000,0.2891,0.7926,0.5355,0.999
0.153000,0.2903,0.7918,0.5374,1.000
0.158000,0.2920,0.7923,0.5384,1.001
0.161000,0.2945,0.7930,0.5350,1.001
0.162000,0.2986,0.7921,0.5306,0.999
0.163000,0.3025,0.7930,0.5237,0.997
0.164000,0.3081,0.7918,0.5218,0.997
0.167000,0.3120,0.7918,0.5198,0.997
0.171000,0.3162,0.7918,0.5228,1.000
0.173000,0.3199,0.7918,0.5252,1.003
0.174000,0.3252,0.7921,0.5272,1.006
0.176000,0.3277,0.7904,0.5306,1.007
0.178000,0.3301,0.7891,0.5345,1.009
0.181000,0.3311,0.7884,0.5369,1.010
0.183000,0.3299,0.7906,0.5394,1.012
0.190000,0.3255,0.7909,0.5384,1.011
0.192000,0.3240,0.7896,0.5401,1.010
0.192000,0.3199,0.7909,0.5401,1.010
0.193000,0.3169,0.7901,0.5401,1.008
0.196000,0.3145,0.7872,0.5420,1.006
0.197000,0.3096,0.7845,0.5435,1.003
0.203000,0.3052,0.7830,0.5484,1.004
0.207000,0.3013,0.7808,0.5508,1.002
0.208000,0.2962,0.7804,0.5528,1.001
0.209000,0.2888,0.7852,0.5545,1.004
0.210000,0.2830,0.7862,0.5584,1.005
0.213000,0.2752,0.7869,0.5599,1.004
0.215000,0.2683,0.7894,0.5616,1.005
0.217000,0.2610,0.7911,0.5618,1.005
0.233000,0.2571,0.7930,0.5608,1.005
0.234000,0.2534,0.7928,0.5606,1.004
0.235000,0.2503,0.7935,0.5604,1.003
0.236000,0.2508,0.7930,0.5589,1.002
0.238000,0.2512,0.7926,0.5567,1.001
0.239000,0.2539,0.7916,0.5530,0.998
0.239000,0.2566,0.7896,0.5472,0.994
0.240000,0.2608,0.7879,0.5455,0.993
0.241000,0.2642,0.7857,0.5445,0.992
0.242000,0.2681,0.7852,0.5428,0.992
0.243000,0.2720,0.7816,0.5416,0.989
0.248000,0.2783,0.7786,0.5379,0.986
0.249000,0.2805,0.7772,0.5386,0.986
0.260000,0.2830,0.7774,0.5401,0.988
0.261000,0.2845,0.7767,0.5430,0.989
0.262000,0.2864,0.7757,0.5423,0.989
0.262000,0.2891,0.7750,0.5394,0.987
0.262000,0.2908,0.7742,0.5386,0.987
0.275000,0.2918,0.7747,0.5369,0.987
0.277000,0.2910,0.7772,0.5340,0.987
0.277000,0.2893,0.7816,0.5330,0.989
0.278000,0.2886,0.7838,0.5333,0.991
0.279000,0.2884,0.7845,0.5333,0.991
0.279000,0.2869,0.7843,0.5333,0.991
0.280000,0.2879,0.7821,0.5347,0.990
0.281000,0.2891,0.7808,0.5350,0.990
0.281000,0.2862,0.7784,0.5333,0.986
0.284000,0.2840,0.7779,0.5340,0.985
0.293000,0.2808,0.7767,0.5345,0.984
0.294000,0.2757,0.7755,0.5362,0.982
0.295000,0.2703,0.7757,0.5355,0.981
0.296000,0.2657,0.7762,0.5333,0.978
0.296000,0.2620,0.7779,0.5315,0.978
0.298000,0.2578,0.7779,0.5311,0.977
0.302000,0.2554,0.7774,0.5291,0.974
0.303000,0.2505,0.7769,0.5296,0.973
0.305000,0.2481,0.7784,0.5274,0.972
0.307000,0.2478,0.7784,0.5257,0.971
0.310000,0.2454,0.7767,0.5276,0.970
0.311000,0.2427,0.7779,0.5257,0.970
0.314000,0.2427,0.7801,0.5245,0.971
0.318000,0.2429,0.7784,0.5232,0.969
0.320000,0.2444,0.7767,0.5225,0.967
0.323000,0.2449,0.7767,0.5250,0.969
0.324000,0.2437,0.7767,0.5262,0.969
0.327000,0.2451,0.7772,0.5267,0.970
0.329000,0.2454,0.7786,0.5252,0.971
0.331000,0.2447,0.7818,0.5254,0.973
0.336000,0.2434,0.7826,0.5254,0.974
0.340000,0.2434,0.7826,0.5250,0.973
0.341000,0.2415,0.7847,0.5235,0.974
0.342000,0.2422,0.7867,0.5237,0.976
0.343000,0.2407,0.7860,0.5228,0.974
0.347000,0.2403,0.7852,0.5237,0.974
0.369000,0.2390,0.7833,0.5230,0.972
0.371000,0.2373,0.7821,0.5220,0.970
0.372000,0.2390,0.7811,0.5237,0.970
0.373000,0.2361,0.7847,0.5257,0.974
0.373000,0.2342,0.7860,0.5276,0.975
0.374000,0.2334,0.7874,0.5313,0.978
0.375000,0.2320,0.7896,0.5342,0.981
0.375000,0.2307,0.7909,0.5377,0.984
0.376000,0.2334,0.7909,0.5394,0.985
0.377000,0.2366,0.7891,0.5445,0.988
0.378000,0.2400,0.7847,0.5440,0.985
0.379000,0.2427,0.7808,0.5450,0.983
0.380000,0.2483,0.7799,0.5423,0.982
0.380000,0.2503,0.7823,0.5379,0.982
0.381000,0.2517,0.7843,0.5337,0.981
0.391000,0.2532,0.7894,0.5291,0.983
0.393000,0.2512,0.7935,0.5250,0.984
0.394000,0.2503,0.8004,0.5262,0.990
0.394000,0.2476,0.8057,0.5218,0.991
0.395000,0.2437,0.8087,0.5176,0.991
0.396000,0.2420,0.8116,0.5157,0.992
0.397000,0.2393,0.8106,0.5140,0.989
0.403000,0.2364,0.8079,0.5101,0.984
0.404000,0.2300,0.8014,0.5052,0.975
0.405000,0.2251,0.7960,0.5069,0.970
0.407000,0.2217,0.7926,0.5091,0.968
0.410000,0.2188,0.7838,0.5118,0.961
0.415000,0.2134,0.7694,0.5137,0.949
0.416000,0.2051,0.7645,0.5267,0.951
0.417000,0.1953,0.7618,0.5296,0.948
0.426000,0.1846,0.7584,0.5240,0.940
0.428000,0.1785,0.7528,0.5225,0.934
0.429000,0.1731,0.7476,0.5210,0.928
0.430000,0.1704,0.7430,0.5210,0.923
0.430000,0.1597,0.7445,0.5257,0.925
0.431000,0.1455,0.7449,0.5286,0.925
0.434000,0.1192,0.7533,0.5359,0.932
