time,gFx,gFy,gFz,TgF
0.004000,0.2901,0.6561,0.6392,0.961
0.004000,0.2984,0.6563,0.6485,0.970
0.005000,0.3030,0.6592,0.6553,0.978
0.005000,0.3059,0.6614,0.6617,0.984
0.006000,0.3106,0.6619,0.6617,0.986
0.007000,0.3150,0.6641,0.6634,0.990
0.007000,0.3167,0.6661,0.6632,0.992
0.008000,0.3184,0.6668,0.6636,0.993
0.008000,0.3203,0.6707,0.6656,0.998
0.014000,0.3233,0.6715,0.6646,0.999
0.015000,0.3233,0.6715,0.6644,0.998
0.015000,0.3225,0.6712,0.6671,1.000
0.024000,0.3238,0.6710,0.6673,1.000
0.025000,0.3238,0.6702,0.6683,1.000
0.025000,0.3181,0.6705,0.6751,1.003
0.026000,0.3138,0.6715,0.6763,1.003
0.028000,0.3113,0.6690,0.6778,1.002
0.030000,0.3062,0.6715,0.6773,1.002
0.032000,0.2991,0.6739,0.6790,1.002
0.041000,0.2952,0.6727,0.6751,0.998
0.042000,0.2896,0.6737,0.6751,0.997
0.042000,0.2852,0.6744,0.6729,0.994
0.048000,0.2805,0.6763,0.6729,0.994
0.049000,0.2762,0.6802,0.6756,0.998
0.049000,0.2744,0.6788,0.6729,0.994
0.050000,0.2703,0.6768,0.6715,0.991
0.057000,0.2669,0.6773,0.6746,0.993
0.058000,0.2671,0.6751,0.6741,0.991
0.059000,0.2657,0.6741,0.6756,0.991
0.059000,0.2652,0.6666,0.6768,0.986
0.061000,0.2649,0.6627,0.6810,0.986
0.065000,0.2683,0.6553,0.6776,0.980
0.066000,0.2703,0.6514,0.6737,0.975
0.073000,0.2693,0.6514,0.6763,0.977
0.074000,0.2676,0.6531,0.6820,0.981
0.075000,0.2669,0.6566,0.6893,0.989
0.076000,0.2610,0.6595,0.6932,0.992
0.078000,0.2617,0.6627,0.6895,0.992
0.080000,0.2613,0.6646,0.6859,0.990
0.083000,0.2635,0.6685,0.6802,0.989
0.090000,0.2661,0.6710,0.6710,0.986
0.091000,0.2666,0.6729,0.6685,0.985
0.092000,0.2669,0.6763,0.6656,0.986
0.093000,0.2681,0.6773,0.6641,0.986
0.094000,0.2674,0.6820,0.6666,0.990
0.096000,0.2657,0.6812,0.6675,0.990
0.099000,0.2696,0.6759,0.6588,0.982
0.105000,0.2757,0.6722,0.6556,0.979
0.106000,0.2837,0.6683,0.6500,0.974
0.108000,0.2874,0.6661,0.6527,0.976
0.114000,0.2928,0.6624,0.6573,0.978
0.115000,0.2969,0.6602,0.6595,0.979
0.116000,0.2969,0.6592,0.6661,0.983
0.116000,0.3006,0.6573,0.6671,0.984
0.121000,0.3057,0.6556,0.6646,0.982
0.123000,0.3067,0.6568,0.6685,0.986
0.124000,0.3062,0.6588,0.6644,0.984
0.125000,0.3069,0.6629,0.6663,0.989
0.128000,0.3069,0.6644,0.6661,0.990
0.130000,0.3052,0.6654,0.6641,0.988
0.132000,0.3079,0.6646,0.6568,0.984
0.145000,0.3113,0.6624,0.6505,0.979
0.146000,0.3152,0.6632,0.6500,0.981
0.146000,0.3184,0.6595,0.6461,0.977
0.147000,0.3199,0.6568,0.6431,0.973
0.147000,0.3228,0.6546,0.6475,0.976
0.147000,0.3206,0.6544,0.6505,0.977
0.149000,0.3206,0.6529,0.6509,0.976
0.158000,0.3230,0.6495,0.6470,0.972
0.159000,0.3230,0.6461,0.6495,0.971
0.160000,0.3194,0.6463,0.6534,0.973
0.161000,0.3135,0.6483,0.6605,0.977
0.161000,0.3062,0.6505,0.6658,0.980
0.164000,0.3025,0.6502,0.6656,0.978
0.166000,0.2989,0.6505,0.6656,0.977
0.172000,0.2952,0.6527,0.6639,0.977
0.173000,0.2940,0.6544,0.6602,0.975
0.174000,0.2920,0.6556,0.6602,0.975
0.176000,0.2893,0.6563,0.6600,0.975
0.177000,0.2859,0.6588,0.6624,0.977
0.180000,0.2832,0.6622,0.6654,0.981
0.182000,0.2820,0.6636,0.6675,0.983
0.187000,0.2796,0.6658,0.6680,0.984
0.188000,0.2769,0.6666,0.6695,0.984
0.189000,0.2759,0.6700,0.6710,0.988
0.191000,0.2735,0.6717,0.6680,0.986
0.194000,0.2752,0.6719,0.6588,0.980
0.197000,0.2732,0.6717,0.6534,0.976
0.199000,0.2696,0.6741,0.6524,0.976
0.204000,0.2669,0.6795,0.6583,0.983
0.205000,0.2647,0.6812,0.6595,0.984
0.206000,0.2625,0.6851,0.6617,0.988
0.209000,0.2630,0.6861,0.6600,0.988
0.211000,0.2625,0.6893,0.6610,0.990
0.213000,0.2632,0.6898,0.6622,0.992
0.216000,0.2627,0.6893,0.6646,0.993
0.229000,0.2705,0.6881,0.6580,0.990
0.231000,0.2713,0.6878,0.6654,0.995
0.231000,0.2774,0.6856,0.6712,0.999
0.232000,0.2805,0.6820,0.6700,0.996
0.233000,0.2849,0.6763,0.6697,0.994
0.234000,0.2942,0.6712,0.6688,0.992
0.234000,0.3003,0.6673,0.6651,0.989
0.237000,0.3055,0.6658,0.6661,0.990
0.238000,0.3118,0.6614,0.6641,0.988
0.239000,0.3142,0.6600,0.6649,0.988
0.242000,0.3186,0.6566,0.6600,0.984
0.258000,0.3238,0.6551,0.6583,0.984
0.259000,0.3225,0.6561,0.6607,0.985
0.260000,0.3255,0.6561,0.6570,0.984
0.260000,0.3272,0.6561,0.6541,0.983
0.261000,0.3282,0.6556,0.6561,0.984
0.262000,0.3286,0.6561,0.6553,0.984
0.262000,0.3299,0.6534,0.6541,0.982
0.263000,0.3289,0.6536,0.6524,0.980
0.264000,0.3294,0.6534,0.6531,0.981
0.266000,0.3269,0.6524,0.6561,0.981
0.271000,0.3223,0.6563,0.6592,0.984
0.272000,0.3233,0.6539,0.6578,0.982
0.273000,0.3189,0.6568,0.6602,0.984
0.275000,0.3155,0.6556,0.6595,0.982
0.278000,0.3147,0.6573,0.6578,0.982
0.280000,0.3123,0.6568,0.6546,0.978
0.282000,0.3123,0.6566,0.6514,0.976
0.287000,0.3125,0.6556,0.6529,0.977
0.288000,0.3123,0.6534,0.6541,0.976
0.291000,0.3130,0.6527,0.6534,0.975
0.293000,0.3140,0.6536,0.6566,0.978
0.295000,0.3164,0.6539,0.6600,0.981
0.297000,0.3162,0.6566,0.6600,0.983
0.299000,0.3164,0.6575,0.6558,0.981
0.304000,0.3181,0.6588,0.6524,0.980
0.305000,0.3196,0.6614,0.6507,0.981
0.308000,0.3203,0.6624,0.6483,0.981
0.309000,0.3262,0.6619,0.6446,0.980
0.311000,0.3284,0.6607,0.6407,0.977
0.314000,0.3294,0.6614,0.6395,0.977
0.317000,0.3308,0.6614,0.6409,0.979
0.330000,0.3316,0.6605,0.6378,0.976
0.336000,0.3321,0.6592,0.6370,0.975
0.338000,0.3318,0.6563,0.6375,0.973
0.340000,0.3333,0.6529,0.6395,0.973
0.341000,0.3326,0.6502,0.6392,0.971
0.343000,0.3340,0.6448,0.6385,0.967
0.344000,0.3350,0.6412,0.6339,0.962
0.345000,0.3352,0.6373,0.6336,0.959
0.346000,0.3340,0.6348,0.6339,0.957
0.347000,0.3316,0.6297,0.6358,0.954
0.348000,0.3299,0.6268,0.6390,0.954
0.349000,0.3252,0.6273,0.6422,0.955
0.350000,0.3235,0.6256,0.6422,0.953
0.351000,0.3213,0.6251,0.6426,0.952
0.353000,0.3201,0.6253,0.6417,0.951
0.365000,0.3138,0.6265,0.6458,0.953
0.367000,0.3094,0.6277,0.6463,0.953
0.367000,0.3076,0.6295,0.6446,0.952
0.368000,0.3042,0.6331,0.6417,0.951
0.368000,0.3015,0.6363,0.6387,0.951
0.368000,0.3011,0.6368,0.6361,0.949
0.369000,0.3015,0.6365,0.6329,0.947
0.380000,0.3047,0.6373,0.6285,0.945
0.381000,0.3067,0.6370,0.6275,0.945
0.382000,0.3116,0.6385,0.6273,0.948
0.382000,0.3164,0.6356,0.6214,0.944
0.383000,0.3174,0.6356,0.6229,0.945
0.383000,0.3174,0.6382,0.6287,0.950
0.390000,0.3208,0.6409,0.6346,0.957
0.393000,0.3252,0.6404,0.6331,0.957
0.394000,0.3247,0.6412,0.6334,0.958
0.394000,0.3243,0.6434,0.6343,0.960
0.395000,0.3238,0.6451,0.6363,0.962
0.396000,0.3142,0.6500,0.6417,0.966
0.399000,0.3040,0.6573,0.6429,0.968
0.405000,0.2984,0.6639,0.6339,0.965
0.407000,0.2903,0.6680,0.6280,0.962
0.407000,0.2857,0.6715,0.6241,0.960
0.408000,0.2823,0.6722,0.6224,0.959
0.411000,0.2803,0.6719,0.6229,0.958
0.413000,0.2798,0.6741,0.6263,0.962
0.415000,0.2827,0.6715,0.6324,0.965
0.420000,0.2901,0.6688,0.6326,0.965
0.421000,0.2967,0.6651,0.6265,0.961
0.423000,0.3064,0.6583,0.6287,0.960
0.425000,0.3150,0.6536,0.6317,0.962
0.427000,0.3223,0.6509,0.6329,0.963
0.429000,0.3286,0.6497,0.6339,0.965
