x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.459442,0.700714,-0.423264,0.938744,90556.245291,2001-01-01 19:09:16.245 -0600
-0.314209,0.649506,-0.578247,0.924637,90556.215506,2001-01-01 19:09:16.216 -0600
-0.208847,0.730789,-0.623108,0.982819,90556.185599,2001-01-01 19:09:16.186 -0600
-0.220016,0.729416,-0.553879,0.941932,90556.155814,2001-01-01 19:09:16.156 -0600
-0.319550,0.625107,-0.579468,0.910304,90556.125906,2001-01-01 19:09:16.126 -0600
-0.447510,0.640808,-0.546066,0.953461,90556.096121,2001-01-01 19:09:16.096 -0600
-0.356033,0.658798,-0.517456,0.910239,90556.066184,2001-01-01 19:09:16.066 -0600
-0.331009,0.743774,-0.609177,1.016791,90556.036398,2001-01-01 19:09:16.036 -0600
-0.291016,0.610245,-0.754944,1.013424,90556.006491,2001-01-01 19:09:16.006 -0600
-0.120667,0.637939,-0.681961,0.941593,90555.976706,2001-01-01 19:09:15.977 -0600
-0.306793,0.622513,-0.687744,0.977055,90555.946799,2001-01-01 19:09:15.947 -0600
-0.401062,0.617462,-0.706665,1.020532,90555.917014,2001-01-01 19:09:15.917 -0600
-0.419891,0.597977,-0.676804,0.995966,90555.884146,2001-01-01 19:09:15.884 -0600
-0.484100,0.595428,-0.673386,1.020949,90555.854319,2001-01-01 19:09:15.854 -0600
-0.373474,0.666092,-0.657852,1.007934,90555.823496,2001-01-01 19:09:15.823 -0600
-0.471649,0.651047,-0.674347,1.049313,90555.793589,2001-01-01 19:09:15.794 -0600
-0.470963,0.682938,-0.696136,1.082966,90555.763804,2001-01-01 19:09:15.764 -0600
-0.443161,0.613754,-0.693466,1.026636,90555.733897,2001-01-01 19:09:15.734 -0600
-0.521255,0.597778,-0.691650,1.052343,90555.704111,2001-01-01 19:09:15.704 -0600
-0.466705,0.710892,-0.759155,1.139955,90555.674204,2001-01-01 19:09:15.674 -0600
-0.478638,0.666000,-0.759689,1.117935,90555.644419,2001-01-01 19:09:15.644 -0600
-0.559464,0.550568,-0.754028,1.088431,90555.614481,2001-01-01 19:09:15.614 -0600
-0.403564,0.708969,-0.802139,1.144084,90555.584696,2001-01-01 19:09:15.585 -0600
-0.223389,0.552887,-0.859039,1.045722,90555.554789,2001-01-01 19:09:15.555 -0600
-0.377991,0.385498,-0.792831,0.959201,90555.525004,2001-01-01 19:09:15.525 -0600
-0.623764,0.521271,-0.714661,1.082379,90555.495097,2001-01-01 19:09:15.495 -0600
-0.579681,0.599167,-0.681351,1.076694,90555.465311,2001-01-01 19:09:15.465 -0600
-0.412796,0.440155,-0.726929,0.944755,90555.435404,2001-01-01 19:09:15.435 -0600
-0.272690,0.365692,-0.780319,0.903874,90555.405619,2001-01-01 19:09:15.406 -0600
-0.128189,0.334991,-0.909958,0.978098,90555.375681,2001-01-01 19:09:15.376 -0600
-0.078491,0.290344,-0.823563,0.876765,90555.345896,2001-01-01 19:09:15.346 -0600
-0.193665,0.356323,-0.775238,0.874909,90555.316019,2001-01-01 19:09:15.316 -0600
-0.115036,0.275818,-0.728226,0.787160,90555.286234,2001-01-01 19:09:15.286 -0600
-0.017319,0.313141,-0.815826,0.874031,90555.256327,2001-01-01 19:09:15.256 -0600
0.020813,0.270767,-0.823837,0.867442,90555.226542,2001-01-01 19:09:15.227 -0600
-0.002075,0.420944,-0.803665,0.907235,90555.196635,2001-01-01 19:09:15.197 -0600
-0.129852,0.568375,-0.866531,1.044408,90555.166819,2001-01-01 19:09:15.167 -0600
-0.069229,0.572800,-0.903687,1.072167,90555.136912,2001-01-01 19:09:15.137 -0600
0.002975,0.548538,-0.901581,1.055344,90555.107127,2001-01-01 19:09:15.107 -0600
-0.070312,0.483795,-0.916214,1.038484,90555.077219,2001-01-01 19:09:15.077 -0600
-0.128922,0.314102,-0.857910,0.922654,90555.047434,2001-01-01 19:09:15.047 -0600
-0.061050,0.958282,-0.896866,1.313926,90555.017527,2001-01-01 19:09:15.018 -0600
-0.137604,0.582260,-0.873734,1.058948,90554.987742,2001-01-01 19:09:14.988 -0600
-0.132858,0.412521,-0.754868,0.870431,90554.957835,2001-01-01 19:09:14.958 -0600
0.057388,0.472687,-0.824341,0.951979,90554.928049,2001-01-01 19:09:14.928 -0600
0.130768,0.567291,-0.892807,1.065844,90554.898112,2001-01-01 19:09:14.898 -0600
0.389389,0.497787,-0.710388,0.950825,90554.868327,2001-01-01 19:09:14.868 -0600
0.038879,0.496140,-0.776978,0.922692,90554.838446,2001-01-01 19:09:14.838 -0600
0.041656,0.462982,-0.786652,0.913733,90554.808661,2001-01-01 19:09:14.809 -0600
0.079391,0.483414,-0.853409,0.984022,90554.778754,2001-01-01 19:09:14.779 -0600
0.085556,0.455704,-0.808350,0.931888,90554.748969,2001-01-01 19:09:14.749 -0600
0.076385,0.451355,-0.768875,0.894832,90554.719062,2001-01-01 19:09:14.719 -0600
0.053497,0.471542,-0.774078,0.907971,90554.689276,2001-01-01 19:09:14.689 -0600
0.058304,0.486649,-0.791885,0.931294,90554.659369,2001-01-01 19:09:14.659 -0600
0.083084,0.560165,-0.731918,0.925415,90554.629584,2001-01-01 19:09:14.630 -0600
0.104492,0.576797,-0.724625,0.932038,90554.599646,2001-01-01 19:09:14.600 -0600
0.078537,0.614594,-0.690811,0.927962,90554.569861,2001-01-01 19:09:14.570 -0600
0.083145,0.670761,-0.638382,0.929712,90554.539954,2001-01-01 19:09:14.540 -0600
0.065613,0.713104,-0.667007,0.978633,90554.510169,2001-01-01 19:09:14.510 -0600
0.040039,0.793518,-0.674316,1.042102,90554.480262,2001-01-01 19:09:14.480 -0600
0.019363,0.860962,-0.708160,1.114954,90554.450476,2001-01-01 19:09:14.450 -0600
0.038269,0.907501,-0.745895,1.175322,90554.420569,2001-01-01 19:09:14.421 -0600
0.038467,0.856964,-0.638092,1.069125,90554.390784,2001-01-01 19:09:14.391 -0600
0.059937,0.855011,-0.511093,0.997924,90554.360846,2001-01-01 19:09:14.361 -0600
0.212357,0.876038,-0.476395,1.019553,90554.331061,2001-01-01 19:09:14.331 -0600
0.291901,0.894531,-0.424957,1.032463,90554.301154,2001-01-01 19:09:14.301 -0600
0.257782,0.853027,-0.428925,0.988981,90554.271369,2001-01-01 19:09:14.271 -0600
0.207443,0.806061,-0.471405,0.956551,90554.241461,2001-01-01 19:09:14.241 -0600
0.262939,0.857040,-0.508484,1.030636,90554.211676,2001-01-01 19:09:14.212 -0600
0.458572,0.967331,-0.500839,1.181887,90554.181769,2001-01-01 19:09:14.182 -0600
0.575912,1.034943,-0.422440,1.257472,90554.151984,2001-01-01 19:09:14.152 -0600
0.453003,0.925552,-0.251465,1.060704,90554.122077,2001-01-01 19:09:14.122 -0600
0.331650,0.873962,-0.218567,0.959986,90554.092292,2001-01-01 19:09:14.092 -0600
0.311356,0.897552,-0.239624,0.979777,90554.062354,2001-01-01 19:09:14.062 -0600
0.390045,0.917648,-0.252182,1.028499,90554.032569,2001-01-01 19:09:14.033 -0600
0.388809,0.851456,-0.173416,0.951957,90554.002661,2001-01-01 19:09:14.003 -0600
0.419815,0.826965,-0.123428,0.935602,90553.972876,2001-01-01 19:09:13.973 -0600
0.595963,0.946472,-0.120895,1.124987,90553.942969,2001-01-01 19:09:13.943 -0600
0.750015,1.025055,-0.077759,1.272520,90553.913184,2001-01-01 19:09:13.913 -0600
0.593124,1.014923,-0.003860,1.175534,90553.883277,2001-01-01 19:09:13.883 -0600
0.377777,0.856827,-0.015549,0.936541,90553.853491,2001-01-01 19:09:13.853 -0600
0.247849,0.737808,-0.054398,0.780224,90553.823609,2001-01-01 19:09:13.824 -0600
