time,gFx,gFy,gFz,TgF
0.002000,-0.2346,0.3896,1.1130,1.202
0.002000,-0.2190,0.3925,1.1428,1.228
0.003000,-0.2087,0.3905,1.1755,1.256
0.006000,-0.2014,0.3852,1.2053,1.281
0.008000,-0.1926,0.3881,1.2479,1.321
0.011000,-0.1828,0.3798,1.2777,1.345
0.015000,-0.1813,0.3837,1.3070,1.374
0.016000,-0.1750,0.3768,1.3353,1.398
0.018000,-0.1760,0.3724,1.3603,1.421
0.021000,-0.1794,0.3593,1.3735,1.431
0.023000,-0.1848,0.3563,1.3984,1.455
0.025000,-0.1877,0.3505,1.4136,1.468
0.028000,-0.1896,0.3475,1.4140,1.468
0.031000,-0.1901,0.3397,1.4199,1.472
0.033000,-0.1892,0.3373,1.4199,1.472
0.035000,-0.1921,0.3275,1.4082,1.458
0.038000,-0.1955,0.3197,1.3920,1.442
0.040000,-0.2068,0.3172,1.3705,1.422
0.042000,-0.2131,0.3138,1.3632,1.415
0.045000,-0.2200,0.3138,1.3324,1.386
0.048000,-0.2248,0.3216,1.3138,1.371
0.050000,-0.2263,0.3118,1.2738,1.331
0.052000,-0.2317,0.3162,1.2459,1.306
0.055000,-0.2356,0.3148,1.2097,1.272
0.057000,-0.2400,0.3118,1.1672,1.232
0.060000,-0.2371,0.3133,1.1423,1.208
0.062000,-0.2361,0.3030,1.1100,1.175
0.065000,-0.2287,0.2884,1.0714,1.133
0.067000,-0.2322,0.2923,1.0382,1.103
0.070000,-0.2234,0.2742,0.9996,1.060
0.072000,-0.2214,0.2718,0.9712,1.033
0.074000,-0.2224,0.2693,0.9380,1.001
0.077000,-0.2087,0.2698,0.9062,0.968
0.079000,-0.2087,0.2591,0.8725,0.934
0.082000,-0.2063,0.2693,0.8407,0.907
0.084000,-0.1936,0.2791,0.8221,0.890
0.087000,-0.1989,0.2747,0.7938,0.863
0.089000,-0.1872,0.2864,0.7811,0.853
0.092000,-0.1813,0.3011,0.7620,0.839
0.094000,-0.1813,0.2996,0.7532,0.831
0.106000,-0.1808,0.3045,0.7454,0.825
0.107000,-0.1750,0.3079,0.7449,0.825
0.107000,-0.1696,0.3055,0.7454,0.823
0.107000,-0.1745,0.3079,0.7605,0.839
0.108000,-0.1716,0.2991,0.7689,0.843
0.109000,-0.1730,0.2923,0.7860,0.856
0.111000,-0.1618,0.2874,0.7899,0.856
0.115000,-0.1574,0.2835,0.8133,0.876
0.116000,-0.1584,0.2786,0.8182,0.879
0.121000,-0.1466,0.2845,0.8309,0.890
0.121000,-0.1447,0.2683,0.8583,0.911
0.123000,-0.1369,0.2703,0.8739,0.925
0.126000,-0.1310,0.2683,0.9033,0.951
0.129000,-0.1158,0.2713,0.9248,0.971
0.131000,-0.1119,0.2625,0.9502,0.992
0.143000,-0.1041,0.2625,0.9605,1.001
0.143000,-0.1022,0.2566,0.9756,1.014
0.144000,-0.1031,0.2517,0.9908,1.027
0.144000,-0.1051,0.2493,1.0074,1.043
0.144000,-0.1080,0.2493,1.0274,1.063
0.146000,-0.1090,0.2390,1.0455,1.078
0.149000,-0.1105,0.2419,1.0636,1.096
0.150000,-0.1227,0.2385,1.0597,1.093
0.153000,-0.1300,0.2454,1.0797,1.115
0.155000,-0.1413,0.2366,1.0934,1.128
0.158000,-0.1466,0.2346,1.1081,1.142
0.160000,-0.1422,0.2395,1.1178,1.152
0.162000,-0.1559,0.2385,1.1276,1.163
0.165000,-0.1510,0.2356,1.1398,1.174
0.167000,-0.1496,0.2302,1.1423,1.175
0.170000,-0.1447,0.2224,1.1589,1.189
0.172000,-0.1388,0.2190,1.1550,1.184
0.175000,-0.1329,0.2175,1.1486,1.177
0.177000,-0.1217,0.2156,1.1403,1.167
0.179000,-0.1114,0.2175,1.1369,1.163
0.182000,-0.1012,0.2112,1.1276,1.152
0.184000,-0.1007,0.2087,1.1203,1.144
0.187000,-0.0978,0.2131,1.0973,1.122
0.189000,-0.0899,0.2136,1.0792,1.104
0.192000,-0.0968,0.2141,1.0553,1.081
0.194000,-0.0890,0.2112,1.0416,1.066
0.196000,-0.0987,0.2160,1.0118,1.039
0.202000,-0.0992,0.2204,0.9922,1.021
0.202000,-0.1002,0.2297,0.9761,1.008
0.208000,-0.0914,0.2429,0.9634,0.998
0.209000,-0.0885,0.2561,0.9605,0.998
0.209000,-0.0792,0.2781,0.9429,0.986
0.212000,-0.0709,0.2737,0.9497,0.991
0.214000,-0.0626,0.2845,0.9394,0.984
0.228000,-0.0440,0.2933,0.9243,0.971
0.229000,-0.0279,0.3001,0.9282,0.976
0.229000,-0.0205,0.3118,0.9111,0.963
0.230000,-0.0137,0.3050,0.8950,0.946
0.230000,-0.0039,0.3128,0.8813,0.935
0.230000,-0.0034,0.3192,0.8661,0.923
0.231000,0.0024,0.3211,0.8563,0.915
0.233000,0.0020,0.3314,0.8583,0.920
0.236000,-0.0044,0.3368,0.8588,0.922
0.238000,-0.0078,0.3387,0.8617,0.926
0.241000,-0.0103,0.3446,0.8573,0.924
0.243000,-0.0215,0.3553,0.8544,0.926
0.245000,-0.0196,0.3544,0.8710,0.941
0.248000,-0.0269,0.3568,0.8803,0.950
0.250000,-0.0327,0.3607,0.8842,0.956
0.253000,-0.0313,0.3563,0.8940,0.963
0.255000,-0.0352,0.3558,0.8994,0.968
0.258000,-0.0430,0.3519,0.9047,0.972
0.260000,-0.0469,0.3417,0.9111,0.974
0.263000,-0.0528,0.3397,0.9170,0.979
0.268000,-0.0538,0.3392,0.9204,0.982
0.268000,-0.0621,0.3363,0.9165,0.978
0.270000,-0.0753,0.3314,0.9311,0.991
0.273000,-0.0894,0.3304,0.9316,0.993
