time,gFx,gFy,gFz,TgF
0.003000,0.4012,0.8788,0.2969,1.011
0.003000,0.4229,0.8731,0.3311,1.025
0.004000,0.4393,0.8636,0.3706,1.037
0.004000,0.4529,0.8529,0.4019,1.046
0.004000,0.4605,0.8460,0.4163,1.049
0.008000,0.4612,0.8443,0.4173,1.049
0.009000,0.4519,0.8495,0.4085,1.045
0.009000,0.4368,0.8556,0.3987,1.040
0.011000,0.4183,0.8587,0.3921,1.033
0.013000,0.4036,0.8597,0.3902,1.027
0.016000,0.3951,0.8563,0.3926,1.021
0.018000,0.3892,0.8531,0.3968,1.018
0.026000,0.3858,0.8507,0.4012,1.017
0.027000,0.3833,0.8509,0.4014,1.016
0.027000,0.3807,0.8529,0.3990,1.016
0.031000,0.3770,0.8509,0.3958,1.011
0.032000,0.3731,0.8526,0.3914,1.010
0.033000,0.3706,0.8490,0.3914,1.006
0.035000,0.3684,0.8480,0.3921,1.004
0.042000,0.3665,0.8448,0.3916,1.001
0.043000,0.3643,0.8404,0.3894,0.995
0.043000,0.3641,0.8355,0.3875,0.990
0.046000,0.3628,0.8341,0.3853,0.988
0.047000,0.3614,0.8326,0.3838,0.985
0.049000,0.3597,0.8321,0.3826,0.984
0.052000,0.3567,0.8307,0.3799,0.981
0.060000,0.3531,0.8297,0.3821,0.979
0.060000,0.3506,0.8277,0.3824,0.977
0.060000,0.3489,0.8258,0.3816,0.974
0.062000,0.3409,0.8287,0.3789,0.973
0.067000,0.3372,0.8280,0.3743,0.969
0.067000,0.3313,0.8297,0.3689,0.967
0.068000,0.3284,0.8304,0.3677,0.966
0.073000,0.3296,0.8304,0.3704,0.967
0.074000,0.3284,0.8336,0.3755,0.971
0.075000,0.3284,0.8390,0.3831,0.979
0.078000,0.3284,0.8436,0.3853,0.984
0.080000,0.3291,0.8485,0.3865,0.989
0.083000,0.3318,0.8521,0.3855,0.992
0.085000,0.3362,0.8546,0.3877,0.997
0.089000,0.3377,0.8580,0.3848,0.999
0.090000,0.3394,0.8585,0.3882,1.001
0.092000,0.3445,0.8502,0.3948,0.999
0.094000,0.3509,0.8431,0.4034,0.998
0.097000,0.3575,0.8407,0.4058,1.000
0.099000,0.3587,0.8394,0.4009,0.997
0.101000,0.3553,0.8433,0.3919,0.996
0.107000,0.3484,0.8492,0.3794,0.993
0.113000,0.3401,0.8541,0.3719,0.992
0.113000,0.3365,0.8575,0.3662,0.991
0.114000,0.3340,0.8607,0.3619,0.992
0.114000,0.3374,0.8661,0.3626,0.998
0.116000,0.3443,0.8665,0.3648,1.001
0.118000,0.3543,0.8675,0.3653,1.006
0.121000,0.3648,0.8712,0.3641,1.012
0.123000,0.3728,0.8766,0.3626,1.019
0.132000,0.3777,0.8841,0.3614,1.027
