time,gFx,gFy,gFz,TgF
0.004,0.6109,0.682,0.441,1.016
0.005,0.5904,0.681,0.4451,1.005
0.005,0.5711,0.681,0.4436,0.993
0.006,0.556,0.6807,0.4327,0.98
0.006,0.543,0.6822,0.4146,0.965
0.006,0.5311,0.6876,0.3997,0.956
0.007,0.5152,0.6966,0.3877,0.949
0.017,0.4947,0.7127,0.3775,0.946
0.018,0.4703,0.7315,0.3689,0.945
0.018,0.4466,0.7476,0.3565,0.941
0.019,0.4261,0.7623,0.3428,0.938
0.019,0.4126,0.774,0.3299,0.937
0.02,0.4056,0.7791,0.3172,0.934
0.024,0.4053,0.7796,0.3108,0.932
0.025,0.4092,0.7784,0.3123,0.933
0.027,0.4139,0.7786,0.3203,0.938
0.034,0.4205,0.775,0.3316,0.942
0.034,0.4261,0.7708,0.3453,0.946
0.034,0.4266,0.7684,0.3631,0.951
0.038,0.429,0.7642,0.3682,0.951
0.039,0.4305,0.7589,0.3699,0.948
0.05,0.4288,0.7562,0.3748,0.947
0.051,0.4217,0.7562,0.3807,0.946
0.051,0.4156,0.7581,0.3875,0.947
0.052,0.4124,0.7572,0.3872,0.945
0.052,0.4146,0.7557,0.3853,0.944
0.054,0.4187,0.752,0.386,0.943
0.055,0.4278,0.7506,0.3833,0.945
0.058,0.4371,0.7498,0.386,0.95
0.061,0.4439,0.7513,0.3907,0.956
0.064,0.4507,0.7547,0.3938,0.963
0.065,0.4593,0.7545,0.3968,0.968
0.068,0.4712,0.755,0.3982,0.975
0.069,0.4815,0.7586,0.3995,0.983
0.072,0.493,0.7603,0.399,0.99
0.082,0.5018,0.7608,0.4014,0.996
0.084,0.5105,0.7603,0.4034,1.001
0.085,0.5179,0.7601,0.4063,1.005
0.086,0.5247,0.7606,0.4068,1.01
0.086,0.5318,0.7601,0.4087,1.014
0.087,0.5374,0.7579,0.4082,1.015
0.091,0.5445,0.755,0.4073,1.016
0.092,0.5513,0.7508,0.4034,1.015
0.099,0.5604,0.7471,0.4002,1.016
0.1,0.5682,0.7442,0.3948,1.016
0.1,0.5782,0.7406,0.3931,1.018
0.102,0.5877,0.7388,0.3924,1.022
0.104,0.595,0.7357,0.3924,1.024
0.105,0.6019,0.733,0.3914,1.026
0.11,0.608,0.7323,0.389,1.028
0.111,0.6124,0.7325,0.386,1.03
0.112,0.6163,0.733,0.3819,1.031
0.116,0.6194,0.7323,0.3807,1.032
0.117,0.6209,0.7354,0.3758,1.033
0.12,0.6207,0.7381,0.3733,1.034
0.125,0.6197,0.7413,0.3719,1.035
0.128,0.6185,0.7449,0.3706,1.037
0.129,0.6146,0.7471,0.3728,1.037
0.131,0.6119,0.7498,0.3765,1.038
0.133,0.6099,0.752,0.376,1.039
0.135,0.6055,0.7513,0.3753,1.035
0.136,0.5992,0.7515,0.3755,1.032
0.146,0.5914,0.7528,0.3755,1.028
0.147,0.5821,0.7542,0.3787,1.025
0.148,0.5735,0.7535,0.3826,1.021
0.148,0.5691,0.7537,0.3848,1.02
0.149,0.5643,0.7525,0.3894,1.018
0.152,0.5587,0.7511,0.3909,1.014
0.153,0.5506,0.7523,0.3897,1.01
0.156,0.5433,0.7542,0.3868,1.007
0.168,0.5352,0.7547,0.3836,1.002
0.169,0.5315,0.7564,0.3807,1
0.171,0.5267,0.7545,0.3775,0.995
0.175,0.5191,0.7554,0.3782,0.992
0.177,0.5127,0.755,0.3799,0.989
0.177,0.5091,0.7559,0.3838,0.989
0.178,0.5035,0.7576,0.3855,0.988
0.179,0.5022,0.7572,0.3836,0.986
0.193,0.5013,0.7559,0.3807,0.984
0.194,0.5042,0.7559,0.3777,0.984
0.194,0.5064,0.7554,0.376,0.984
0.195,0.5081,0.7552,0.3758,0.985
0.196,0.5098,0.7533,0.3797,0.986
0.196,0.5127,0.7511,0.3765,0.984
0.197,0.5171,0.7489,0.3741,0.984
0.198,0.5196,0.7469,0.3694,0.982
0.198,0.5215,0.7442,0.3667,0.98
0.199,0.524,0.743,0.3636,0.979
0.202,0.5257,0.742,0.3645,0.98
0.203,0.5247,0.7452,0.3682,0.983
0.207,0.5218,0.7457,0.3684,0.982
0.209,0.522,0.7462,0.368,0.982
0.214,0.524,0.7445,0.3675,0.982
0.216,0.5264,0.7435,0.3689,0.983
0.217,0.5281,0.7425,0.3704,0.984
0.218,0.5298,0.7396,0.3731,0.983
0.22,0.5269,0.7386,0.3789,0.983
0.225,0.5259,0.7376,0.3875,0.985
0.226,0.5254,0.7384,0.3921,0.987
0.227,0.5262,0.7391,0.3931,0.989
0.229,0.5269,0.7369,0.3936,0.988
0.232,0.5267,0.7347,0.3968,0.987
0.235,0.5267,0.7327,0.3968,0.986
0.242,0.5235,0.7301,0.3968,0.982
0.246,0.5232,0.7318,0.3946,0.982
0.247,0.5191,0.7308,0.3958,0.98
0.247,0.5164,0.731,0.3985,0.98
0.249,0.5127,0.732,0.3999,0.979
0.249,0.5118,0.732,0.4031,0.98
0.251,0.5103,0.7337,0.4078,0.982
0.253,0.5079,0.7357,0.4117,0.984
0.258,0.5022,0.7371,0.4134,0.983
0.26,0.4947,0.7364,0.4126,0.978
0.261,0.4896,0.7359,0.4124,0.975
0.264,0.4849,0.7366,0.4119,0.973
0.266,0.4795,0.7357,0.4129,0.97
0.268,0.4766,0.7364,0.4104,0.968
0.27,0.4729,0.7374,0.4078,0.966
0.285,0.4722,0.7359,0.4034,0.963
0.287,0.4729,0.7359,0.396,0.96
0.288,0.4751,0.7388,0.3872,0.96
0.289,0.4812,0.7396,0.3807,0.961
0.289,0.4876,0.7428,0.3775,0.965
0.29,0.4961,0.7452,0.3765,0.971
0.29,0.5064,0.7467,0.3758,0.977
0.291,0.5137,0.7447,0.3748,0.979
0.314,0.5196,0.7469,0.377,0.985
0.316,0.5267,0.7489,0.3767,0.99
0.316,0.5311,0.7508,0.3755,0.993
0.317,0.5328,0.753,0.3738,0.995
0.318,0.533,0.7567,0.3767,0.999
0.319,0.5357,0.7572,0.3802,1.002
0.32,0.5381,0.7576,0.3821,1.005
0.321,0.5398,0.7559,0.3836,1.005
0.322,0.5406,0.7576,0.3841,1.007
0.322,0.5413,0.7569,0.3855,1.007
0.323,0.5401,0.7557,0.3858,1.006
