time,gFx,gFy,gFz,TgF
0.002,0.4556,0.9366,0.0635,1.043
0.003,0.4717,0.9391,0.0579,1.052
0.003,0.4827,0.9356,0.053,1.054
0.003,0.4888,0.9342,0.0549,1.056
0.004,0.4952,0.9273,0.0598,1.053
0.004,0.4993,0.921,0.0657,1.05
0.011,0.4991,0.9139,0.0767,1.044
0.012,0.4915,0.91,0.0867,1.038
0.013,0.4832,0.9054,0.096,1.031
0.014,0.4717,0.8998,0.1023,1.021
0.016,0.4593,0.8956,0.103,1.012
0.019,0.449,0.89,0.1001,1.002
0.031,0.4375,0.8853,0.096,0.992
0.032,0.428,0.8812,0.0916,0.984
0.032,0.419,0.8802,0.0891,0.979
0.033,0.4124,0.8792,0.0823,0.975
0.033,0.4082,0.8778,0.0767,0.971
0.034,0.4075,0.878,0.0708,0.971
0.035,0.408,0.8778,0.0652,0.97
0.039,0.4109,0.877,0.0586,0.97
0.041,0.4161,0.8766,0.0544,0.972
0.042,0.4224,0.8778,0.0537,0.976
0.045,0.431,0.8824,0.0552,0.984
0.047,0.4407,0.8844,0.0623,0.99
0.049,0.4485,0.8849,0.075,0.995
0.051,0.4561,0.8861,0.0869,1
0.056,0.4605,0.8858,0.0969,1.003
0.057,0.4656,0.8856,0.1045,1.006
0.059,0.4698,0.8834,0.1074,1.006
0.061,0.4715,0.8819,0.1074,1.006
0.063,0.472,0.8807,0.1057,1.005
0.066,0.47,0.8849,0.105,1.007
0.068,0.4673,0.8873,0.1021,1.008
0.071,0.4666,0.8895,0.1016,1.01
0.073,0.4661,0.8905,0.1038,1.01
0.076,0.4627,0.8914,0.106,1.01
0.078,0.4607,0.8893,0.1074,1.007
0.08,0.4583,0.8871,0.1069,1.004
0.082,0.4559,0.8868,0.1089,1.003
0.085,0.4527,0.8878,0.1067,1.002
0.087,0.4483,0.8871,0.1082,1
0.091,0.4449,0.8873,0.1067,0.998
0.093,0.4412,0.8875,0.1082,0.997
0.096,0.4378,0.889,0.1104,0.997
0.097,0.4385,0.8907,0.1111,0.999
0.1,0.4361,0.8917,0.1094,0.999
0.102,0.4356,0.8897,0.1082,0.997
0.106,0.4329,0.8917,0.1111,0.997
0.107,0.4329,0.8924,0.113,0.998
0.111,0.4329,0.8907,0.1133,0.997
0.112,0.4329,0.8907,0.1116,0.997
0.115,0.4341,0.8895,0.1067,0.996
0.117,0.4356,0.8907,0.1025,0.997
0.122,0.4375,0.8924,0.0979,0.999
0.124,0.4397,0.8917,0.0947,0.999
0.125,0.4429,0.8905,0.0906,0.999
0.126,0.4456,0.8905,0.0884,1
0.129,0.4493,0.8907,0.0864,1.001
0.131,0.4519,0.8902,0.0862,1.002
0.134,0.4544,0.8878,0.0884,1.001
0.149,0.4554,0.8846,0.0925,0.999
0.15,0.4578,0.8829,0.0952,0.999
0.15,0.4598,0.8824,0.096,1
0.151,0.4603,0.8807,0.0921,0.998
0.151,0.4607,0.8824,0.0877,0.999
0.151,0.4585,0.8839,0.0816,0.999
0.152,0.46,0.8844,0.0725,0.999
0.156,0.4622,0.8873,0.0635,1.002
0.156,0.4646,0.8895,0.0574,1.005
0.157,0.47,0.8897,0.0532,1.008
0.159,0.4744,0.8917,0.0557,1.012
0.162,0.4793,0.8924,0.0606,1.015
0.164,0.4827,0.8929,0.0679,1.017
0.168,0.4856,0.8934,0.074,1.02
0.168,0.4874,0.8927,0.0828,1.02
0.179,0.491,0.8927,0.0889,1.023
0.18,0.4918,0.8912,0.0916,1.022
0.181,0.4939,0.8897,0.0957,1.022
0.181,0.4913,0.8878,0.0952,1.019
0.181,0.4893,0.8868,0.0986,1.018
0.183,0.4854,0.8849,0.1013,1.014
0.185,0.4815,0.8834,0.1025,1.011
0.19,0.4786,0.8827,0.1055,1.01
0.193,0.4744,0.8795,0.1057,1.005
0.194,0.4695,0.8783,0.1052,1.001
0.196,0.4646,0.8763,0.1077,0.998
0.197,0.4612,0.8761,0.1113,0.996
0.2,0.4583,0.8741,0.1133,0.993
0.205,0.4539,0.8705,0.113,0.988
0.206,0.4537,0.8675,0.1111,0.985
0.208,0.4544,0.8636,0.1082,0.982
0.209,0.4561,0.8634,0.1028,0.982
0.212,0.4603,0.8643,0.0972,0.984
0.214,0.4651,0.8656,0.0933,0.987
0.216,0.4705,0.8673,0.0913,0.991
0.222,0.4744,0.8714,0.0877,0.996
0.224,0.4778,0.8744,0.0852,1
0.225,0.481,0.8766,0.0835,1.003
0.226,0.4788,0.8792,0.0842,1.005
0.229,0.4759,0.8831,0.0852,1.007
0.231,0.472,0.8866,0.0886,1.008
0.233,0.4686,0.8873,0.0942,1.008
0.236,0.4656,0.8885,0.0986,1.008
0.239,0.4637,0.8871,0.104,1.006
0.242,0.462,0.8861,0.1089,1.005
0.244,0.4622,0.8849,0.1099,1.004
0.245,0.4625,0.8834,0.1109,1.003
0.248,0.4634,0.8819,0.1111,1.002
0.25,0.4598,0.8783,0.1091,0.997
0.256,0.4573,0.8785,0.1094,0.996
0.259,0.4551,0.8788,0.1111,0.996
0.26,0.4524,0.879,0.1091,0.995
0.26,0.449,0.8802,0.1089,0.994
0.263,0.4478,0.8824,0.1104,0.996
0.266,0.4451,0.8836,0.1084,0.995
0.267,0.4441,0.8831,0.1087,0.994
0.273,0.4439,0.8836,0.106,0.995
0.275,0.4415,0.8841,0.104,0.994
0.276,0.44,0.8849,0.1035,0.994
0.276,0.4383,0.8849,0.1018,0.993
0.279,0.4385,0.8868,0.1001,0.994
0.282,0.4393,0.8885,0.0982,0.996
0.283,0.4393,0.889,0.0947,0.996
0.304,0.4427,0.891,0.0911,0.999
0.307,0.4436,0.8917,0.0899,1
0.308,0.4417,0.8941,0.0911,1.001
0.309,0.4434,0.8963,0.0889,1.004
0.31,0.4424,0.901,0.0872,1.008
0.311,0.4419,0.9051,0.0833,1.011
0.312,0.4432,0.9054,0.083,1.011
0.313,0.4436,0.9081,0.0813,1.014
0.314,0.4441,0.9076,0.0808,1.014
0.315,0.448,0.9078,0.0877,1.016
0.315,0.4537,0.9056,0.0903,1.017
0.316,0.4561,0.9046,0.095,1.018
0.316,0.4573,0.9034,0.0962,1.017
0.317,0.4612,0.9037,0.0986,1.019
0.322,0.462,0.9019,0.0994,1.018
0.326,0.4622,0.9032,0.1004,1.02
0.327,0.4639,0.9044,0.1021,1.022
0.328,0.4664,0.9068,0.1028,1.025
0.329,0.4698,0.9068,0.1038,1.027
0.331,0.472,0.9066,0.1067,1.028
0.333,0.4756,0.9039,0.1084,1.027
0.338,0.4764,0.9029,0.1106,1.027
0.339,0.4791,0.9019,0.1133,1.028
0.34,0.481,0.9007,0.1157,1.028
0.346,0.4837,0.8988,0.115,1.027
0.346,0.4827,0.8978,0.1143,1.026
