time,gFx,gFy,gFz,TgF
0.004,0.4605,0.8651,0.1875,0.998
0.005,0.4913,0.8597,0.2254,1.015
0.005,0.5191,0.8512,0.2515,1.028
0.006,0.5398,0.8426,0.2693,1.036
0.006,0.5572,0.8348,0.2857,1.044
0.007,0.5689,0.8265,0.295,1.046
0.007,0.5743,0.8209,0.2996,1.046
0.007,0.5779,0.8131,0.3045,1.043
0.008,0.5755,0.8082,0.3118,1.04
0.008,0.5721,0.8043,0.3167,1.037
0.009,0.5645,0.8018,0.3216,1.032
0.009,0.556,0.8001,0.3228,1.026
0.01,0.545,0.7999,0.3201,1.019
0.01,0.5333,0.7996,0.3147,1.011
0.024,0.5201,0.7979,0.3076,1.001
0.025,0.5079,0.7972,0.3013,0.992
0.026,0.4952,0.7967,0.293,0.983
0.026,0.4815,0.7996,0.2852,0.976
0.026,0.4698,0.8038,0.2769,0.971
0.027,0.4593,0.8072,0.2683,0.967
0.027,0.451,0.8087,0.263,0.963
0.028,0.4439,0.8111,0.2559,0.959
0.034,0.4405,0.8131,0.2532,0.959
0.035,0.4361,0.8138,0.251,0.957
0.036,0.4366,0.817,0.251,0.96
0.037,0.4358,0.8187,0.2517,0.961
0.04,0.4356,0.8184,0.2539,0.961
0.042,0.4356,0.8189,0.2556,0.962
0.047,0.4353,0.8202,0.2578,0.964
0.05,0.4351,0.8248,0.2583,0.968
0.051,0.4344,0.8267,0.2569,0.969
0.051,0.4322,0.8316,0.2593,0.972
0.054,0.4307,0.836,0.2564,0.975
0.056,0.4292,0.8404,0.2576,0.978
0.059,0.4314,0.8433,0.2588,0.982
0.064,0.4322,0.846,0.262,0.985
0.064,0.4351,0.8446,0.263,0.986
0.065,0.4385,0.8446,0.2654,0.988
0.068,0.4415,0.8448,0.2691,0.99
0.07,0.4439,0.8441,0.2715,0.992
0.073,0.4471,0.8441,0.2754,0.994
0.075,0.4468,0.8446,0.2762,0.995
0.077,0.448,0.8443,0.2766,0.995
0.08,0.4483,0.8458,0.2766,0.996
0.082,0.4466,0.8448,0.2771,0.995
0.085,0.4476,0.8441,0.2747,0.994
0.087,0.4488,0.8426,0.2735,0.993
0.089,0.4483,0.8407,0.2698,0.99
0.091,0.4476,0.8407,0.2671,0.989
0.094,0.4471,0.8409,0.2644,0.988
0.097,0.45,0.8416,0.261,0.989
0.1,0.4512,0.8436,0.2581,0.991
0.101,0.4495,0.846,0.2559,0.992
0.104,0.4519,0.849,0.2559,0.995
0.107,0.4539,0.8509,0.2571,0.998
0.109,0.4563,0.8524,0.2576,1.001
0.114,0.4578,0.8551,0.2588,1.004
0.114,0.462,0.8548,0.2603,1.006
0.117,0.4661,0.8546,0.2615,1.008
0.118,0.4739,0.8516,0.2613,1.009
0.121,0.4791,0.8477,0.2635,1.009
0.123,0.483,0.8451,0.2632,1.008
0.125,0.4876,0.8433,0.2671,1.01
0.136,0.493,0.8436,0.2703,1.014
0.137,0.4979,0.8419,0.2708,1.015
0.137,0.4986,0.8404,0.2713,1.014
0.138,0.5032,0.8402,0.2742,1.017
0.139,0.5047,0.8394,0.2757,1.018
0.139,0.5086,0.8399,0.2781,1.021
0.142,0.5093,0.8382,0.2793,1.02
0.145,0.5093,0.8397,0.2808,1.021
0.149,0.5098,0.8436,0.2849,1.026
0.15,0.5103,0.8441,0.2913,1.028
0.151,0.5076,0.8438,0.2942,1.028
0.153,0.5054,0.8431,0.2967,1.027
0.156,0.5027,0.8436,0.2964,1.026
0.158,0.4996,0.8431,0.2945,1.023
0.161,0.4966,0.8433,0.2947,1.022
0.163,0.493,0.8438,0.2937,1.02
0.166,0.4896,0.8453,0.2908,1.019
0.168,0.4859,0.846,0.2893,1.018
0.171,0.4856,0.8441,0.2849,1.015
0.173,0.4869,0.8421,0.2832,1.013
0.175,0.4834,0.8402,0.281,1.009
0.179,0.4832,0.8365,0.2798,1.006
0.18,0.4825,0.8358,0.2832,1.006
0.182,0.4822,0.8343,0.2857,1.005
0.185,0.4795,0.8341,0.2886,1.004
0.187,0.4761,0.8343,0.2901,1.003
0.189,0.4747,0.8348,0.2886,1.003
