time,gFx,gFy,gFz,TgF
0.003000,0.3731,0.7821,0.5091,1.005
0.004000,0.3894,0.7847,0.5174,1.017
0.005000,0.4075,0.7813,0.5245,1.025
0.006000,0.4207,0.7767,0.5325,1.031
0.007000,0.4297,0.7686,0.5403,1.033
0.007000,0.4366,0.7603,0.5464,1.033
0.008000,0.4419,0.7520,0.5567,1.035
0.008000,0.4446,0.7425,0.5623,1.032
0.021000,0.4468,0.7340,0.5679,1.030
0.022000,0.4446,0.7232,0.5745,1.025
0.023000,0.4419,0.7166,0.5777,1.021
0.023000,0.4349,0.7115,0.5799,1.016
0.023000,0.4266,0.7098,0.5814,1.012
0.024000,0.4148,0.7078,0.5840,1.007
0.034000,0.4031,0.7064,0.5840,1.001
0.035000,0.3902,0.7047,0.5838,0.995
0.035000,0.3814,0.7047,0.5782,0.988
0.036000,0.3714,0.7047,0.5740,0.982
0.036000,0.3638,0.7066,0.5687,0.977
0.037000,0.3557,0.7103,0.5643,0.974
0.041000,0.3494,0.7117,0.5579,0.970
0.042000,0.3450,0.7166,0.5552,0.970
0.043000,0.3413,0.7208,0.5489,0.968
0.046000,0.3379,0.7252,0.5484,0.970
0.050000,0.3379,0.7274,0.5467,0.971
0.051000,0.3379,0.7279,0.5452,0.970
0.056000,0.3394,0.7291,0.5442,0.971
0.057000,0.3431,0.7303,0.5425,0.972
0.058000,0.3455,0.7313,0.5428,0.974
0.060000,0.3496,0.7308,0.5450,0.976
0.062000,0.3523,0.7305,0.5440,0.977
0.065000,0.3536,0.7301,0.5452,0.977
0.067000,0.3572,0.7318,0.5433,0.979
0.072000,0.3592,0.7298,0.5428,0.978
0.073000,0.3621,0.7291,0.5440,0.979
0.075000,0.3682,0.7274,0.5460,0.981
0.077000,0.3724,0.7242,0.5464,0.981
0.079000,0.3760,0.7220,0.5477,0.981
0.082000,0.3785,0.7203,0.5491,0.982
0.084000,0.3824,0.7193,0.5494,0.983
0.090000,0.3836,0.7169,0.5503,0.982
0.090000,0.3868,0.7161,0.5525,0.984
0.092000,0.3843,0.7139,0.5528,0.981
0.095000,0.3824,0.7144,0.5535,0.981
0.096000,0.3807,0.7154,0.5528,0.981
0.099000,0.3777,0.7152,0.5528,0.980
0.100000,0.3750,0.7137,0.5530,0.978
0.112000,0.3724,0.7169,0.5528,0.979
0.113000,0.3714,0.7178,0.5530,0.979
0.114000,0.3682,0.7183,0.5533,0.979
0.115000,0.3672,0.7203,0.5530,0.980
0.115000,0.3638,0.7210,0.5518,0.978
0.115000,0.3631,0.7218,0.5533,0.979
0.118000,0.3623,0.7213,0.5565,0.980
0.123000,0.3626,0.7227,0.5574,0.982
0.124000,0.3631,0.7235,0.5599,0.984
0.125000,0.3631,0.7232,0.5608,0.985
0.130000,0.3653,0.7227,0.5591,0.984
0.131000,0.3675,0.7196,0.5555,0.980
0.132000,0.3726,0.7174,0.5535,0.980
0.134000,0.3765,0.7149,0.5528,0.979
0.140000,0.3780,0.7137,0.5535,0.979
0.141000,0.3814,0.7127,0.5540,0.980
0.142000,0.3833,0.7132,0.5535,0.981
0.143000,0.3826,0.7149,0.5503,0.980
0.146000,0.3841,0.7161,0.5491,0.981
0.148000,0.3865,0.7178,0.5486,0.983
0.151000,0.3870,0.7183,0.5479,0.983
0.157000,0.3860,0.7205,0.5464,0.983
0.158000,0.3860,0.7240,0.5467,0.986
0.159000,0.3863,0.7259,0.5462,0.987
0.160000,0.3841,0.7288,0.5477,0.989
0.162000,0.3821,0.7323,0.5482,0.991
0.165000,0.3789,0.7325,0.5494,0.991
0.167000,0.3777,0.7337,0.5545,0.994
0.184000,0.3746,0.7374,0.5572,0.997
0.186000,0.3733,0.7379,0.5577,0.997
0.187000,0.3726,0.7386,0.5577,0.998
0.187000,0.3738,0.7364,0.5591,0.997
0.187000,0.3733,0.7359,0.5616,0.998
0.188000,0.3736,0.7359,0.5613,0.998
0.188000,0.3738,0.7381,0.5616,1.000
0.188000,0.3738,0.7386,0.5621,1.001
0.189000,0.3736,0.7384,0.5611,1.000
0.192000,0.3716,0.7388,0.5611,0.999
0.194000,0.3699,0.7366,0.5608,0.997
0.196000,0.3711,0.7352,0.5587,0.995
0.198000,0.3721,0.7357,0.5567,0.995
0.200000,0.3748,0.7337,0.5523,0.992
0.213000,0.3785,0.7335,0.5494,0.991
0.214000,0.3819,0.7330,0.5460,0.991
0.215000,0.3836,0.7320,0.5430,0.989
0.215000,0.3863,0.7318,0.5425,0.989
0.216000,0.3865,0.7308,0.5460,0.991
0.216000,0.3880,0.7330,0.5477,0.994
0.218000,0.3872,0.7308,0.5530,0.995
0.222000,0.3863,0.7291,0.5555,0.995
0.225000,0.3868,0.7283,0.5560,0.995
0.226000,0.3890,0.7257,0.5540,0.992
0.227000,0.3899,0.7235,0.5550,0.992
0.230000,0.3892,0.7208,0.5543,0.989
0.232000,0.3894,0.7178,0.5543,0.987
0.236000,0.3890,0.7174,0.5550,0.987
0.237000,0.3875,0.7174,0.5547,0.986
0.242000,0.3858,0.7164,0.5565,0.986
0.243000,0.3843,0.7166,0.5560,0.985
0.244000,0.3814,0.7171,0.5540,0.983
0.247000,0.3807,0.7183,0.5525,0.983
0.249000,0.3789,0.7196,0.5525,0.983
0.254000,0.3777,0.7191,0.5545,0.983
0.255000,0.3755,0.7203,0.5538,0.983
0.257000,0.3748,0.7225,0.5516,0.983
0.264000,0.3767,0.7244,0.5506,0.985
0.267000,0.3775,0.7276,0.5501,0.987
0.268000,0.3763,0.7293,0.5489,0.987
0.272000,0.3775,0.7298,0.5464,0.987
0.273000,0.3792,0.7310,0.5482,0.989
0.274000,0.3807,0.7286,0.5460,0.987
0.275000,0.3833,0.7264,0.5435,0.985
0.275000,0.3829,0.7266,0.5423,0.984
0.278000,0.3860,0.7249,0.5438,0.985
0.279000,0.3875,0.7240,0.5428,0.984
0.282000,0.3880,0.7227,0.5447,0.985
0.284000,0.3902,0.7232,0.5467,0.987
0.296000,0.3929,0.7249,0.5491,0.991
0.297000,0.3929,0.7230,0.5521,0.991
0.297000,0.3929,0.7232,0.5538,0.992
0.298000,0.3919,0.7240,0.5562,0.994
