time,gFx,gFy,gFz,TgF
0.003000,0.3548,0.7467,0.5301,0.982
0.003000,0.3589,0.7330,0.5608,0.990
0.003000,0.3577,0.7222,0.5926,1.000
0.004000,0.3577,0.7144,0.6209,1.012
0.004000,0.3553,0.7081,0.6451,1.022
0.004000,0.3518,0.7042,0.6632,1.029
0.008000,0.3460,0.7012,0.6705,1.030
0.009000,0.3401,0.6995,0.6729,1.029
0.011000,0.3343,0.6993,0.6719,1.026
0.014000,0.3279,0.6988,0.6700,1.022
0.016000,0.3230,0.7008,0.6668,1.020
0.018000,0.3203,0.7027,0.6619,1.017
0.024000,0.3167,0.7044,0.6600,1.016
0.024000,0.3172,0.7061,0.6585,1.016
0.025000,0.3162,0.7081,0.6588,1.018
0.028000,0.3164,0.7088,0.6570,1.017
0.030000,0.3167,0.7073,0.6551,1.015
0.033000,0.3155,0.7078,0.6553,1.015
0.035000,0.3135,0.7066,0.6563,1.014
0.038000,0.3135,0.7076,0.6563,1.015
0.040000,0.3130,0.7066,0.6573,1.015
0.043000,0.3118,0.7049,0.6610,1.015
0.045000,0.3091,0.7054,0.6612,1.015
0.047000,0.3057,0.7044,0.6629,1.014
0.049000,0.3020,0.7059,0.6634,1.015
0.051000,0.2954,0.7095,0.6671,1.018
0.056000,0.2886,0.7130,0.6668,1.018
0.057000,0.2823,0.7127,0.6697,1.018
0.059000,0.2762,0.7166,0.6707,1.020
0.062000,0.2698,0.7176,0.6702,1.018
0.064000,0.2666,0.7181,0.6688,1.017
0.066000,0.2622,0.7174,0.6656,1.013
0.068000,0.2613,0.7142,0.6636,1.009
0.078000,0.2593,0.7105,0.6622,1.005
0.079000,0.2556,0.7091,0.6595,1.002
0.080000,0.2532,0.7083,0.6610,1.001
0.080000,0.2505,0.7054,0.6583,0.997
0.081000,0.2493,0.7044,0.6485,0.989
0.083000,0.2527,0.7008,0.6382,0.981
0.085000,0.2547,0.7005,0.6297,0.976
0.089000,0.2564,0.7027,0.6226,0.973
0.090000,0.2593,0.7059,0.6168,0.973
0.092000,0.2622,0.7095,0.6109,0.972
