time,gFx,gFy,gFz,TgF
0.003000,0.3765,0.3977,0.8372,1.000
0.004000,0.3743,0.3948,0.8348,0.996
0.004000,0.3716,0.3936,0.8338,0.994
0.004000,0.3706,0.3926,0.8331,0.993
0.005000,0.3684,0.3914,0.8346,0.993
0.005000,0.3658,0.3975,0.8324,0.992
0.010000,0.3621,0.4009,0.8370,0.996
0.011000,0.3562,0.4075,0.8385,0.998
0.012000,0.3531,0.4129,0.8385,0.999
0.014000,0.3465,0.4180,0.8414,1.001
0.020000,0.3382,0.4251,0.8443,1.004
0.021000,0.3299,0.4332,0.8458,1.006
0.021000,0.3238,0.4385,0.8465,1.007
0.023000,0.3167,0.4439,0.8438,1.005
0.026000,0.3111,0.4468,0.8431,1.004
0.028000,0.2986,0.4527,0.8639,1.020
0.030000,0.2808,0.4632,0.8766,1.030
0.035000,0.2769,0.4659,0.8641,1.020
0.035000,0.2867,0.4593,0.8390,0.998
0.038000,0.2945,0.4539,0.8238,0.986
0.041000,0.3018,0.4480,0.8199,0.982
0.043000,0.3062,0.4427,0.8199,0.981
0.045000,0.3138,0.4373,0.8153,0.977
0.047000,0.3240,0.4292,0.8097,0.972
0.051000,0.3343,0.4212,0.8055,0.968
0.052000,0.3426,0.4141,0.8011,0.965
0.057000,0.3487,0.4065,0.7962,0.960
0.058000,0.3523,0.4019,0.7974,0.960
0.059000,0.3584,0.3968,0.7955,0.958
0.062000,0.3658,0.3907,0.7928,0.957
0.064000,0.3704,0.3850,0.7938,0.957
0.070000,0.3736,0.3826,0.7940,0.957
0.071000,0.3782,0.3789,0.7945,0.958
0.072000,0.3821,0.3763,0.7926,0.957
0.074000,0.3858,0.3743,0.7913,0.957
0.076000,0.3916,0.3721,0.7911,0.958
0.079000,0.3943,0.3716,0.7904,0.958
0.081000,0.3980,0.3682,0.7879,0.956
0.094000,0.4031,0.3667,0.7857,0.956
0.095000,0.4075,0.3675,0.7847,0.958
0.096000,0.4075,0.3684,0.7835,0.957
0.097000,0.4102,0.3684,0.7804,0.955
0.097000,0.4126,0.3680,0.7779,0.954
0.098000,0.4114,0.3702,0.7757,0.953
0.098000,0.4122,0.3731,0.7740,0.953
0.106000,0.4087,0.3755,0.7745,0.953
0.107000,0.4041,0.3782,0.7745,0.952
0.107000,0.3992,0.3831,0.7760,0.953
0.112000,0.3921,0.3843,0.7813,0.955
0.117000,0.3853,0.3890,0.7847,0.957
0.119000,0.3743,0.3953,0.7891,0.959
0.120000,0.3606,0.4017,0.7935,0.960
0.121000,0.3511,0.4046,0.7960,0.959
0.122000,0.3391,0.4090,0.7982,0.959
0.129000,0.3304,0.4139,0.7967,0.957
0.130000,0.3238,0.4148,0.7970,0.955
0.132000,0.3196,0.4134,0.7952,0.952
0.133000,0.3167,0.4136,0.7928,0.949
0.134000,0.3140,0.4153,0.7926,0.948
0.141000,0.3142,0.4131,0.7926,0.947
0.142000,0.3140,0.4129,0.7909,0.946
0.143000,0.3142,0.4090,0.7913,0.945
0.143000,0.3179,0.4056,0.7879,0.941
0.145000,0.3203,0.4043,0.7869,0.941
0.146000,0.3225,0.4014,0.7865,0.940
0.148000,0.3230,0.4002,0.7852,0.939
0.150000,0.3233,0.4017,0.7845,0.939
0.154000,0.3282,0.4041,0.7838,0.941
0.154000,0.3286,0.4043,0.7838,0.941
0.157000,0.3316,0.4051,0.7840,0.943
0.159000,0.3348,0.4073,0.7843,0.945
0.161000,0.3367,0.4065,0.7850,0.946
0.163000,0.3406,0.4075,0.7857,0.948
0.166000,0.3445,0.4056,0.7867,0.950
0.170000,0.3492,0.4058,0.7882,0.953
0.172000,0.3545,0.4051,0.7921,0.958
0.173000,0.3611,0.4041,0.7948,0.962
0.176000,0.3645,0.4017,0.7957,0.963
0.178000,0.3714,0.4014,0.7977,0.967
0.180000,0.3750,0.3999,0.8001,0.970
0.196000,0.3811,0.3992,0.7996,0.972
0.197000,0.3860,0.3968,0.8043,0.976
0.198000,0.3885,0.3953,0.8084,0.980
0.198000,0.3912,0.3941,0.8106,0.983
0.199000,0.3909,0.3926,0.8121,0.983
0.199000,0.3907,0.3946,0.8140,0.985
0.199000,0.3916,0.3951,0.8145,0.986
0.200000,0.3897,0.3948,0.8153,0.986
0.212000,0.3904,0.3965,0.8140,0.986
