time,gFx,gFy,gFz,TgF
0.002000,0.3130,0.9544,0.1489,1.015
0.003000,0.3443,0.9637,0.1712,1.038
0.005000,0.3826,0.9659,0.2002,1.058
0.005000,0.4234,0.9586,0.2324,1.073
0.006000,0.4649,0.9427,0.2600,1.083
0.007000,0.5059,0.9195,0.2867,1.088
0.014000,0.5416,0.8963,0.3111,1.092
0.014000,0.5672,0.8724,0.3326,1.092
0.015000,0.5853,0.8499,0.3521,1.090
0.015000,0.5884,0.8302,0.3726,1.084
0.017000,0.5821,0.8143,0.3914,1.075
0.019000,0.5655,0.8055,0.4070,1.065
0.023000,0.5413,0.7984,0.4180,1.051
0.025000,0.5149,0.7950,0.4248,1.038
0.027000,0.4881,0.7955,0.4283,1.027
0.029000,0.4585,0.7955,0.4263,1.012
0.032000,0.4288,0.8023,0.4234,1.003
0.034000,0.4019,0.8045,0.4202,0.993
0.036000,0.3765,0.8099,0.4183,0.986
0.040000,0.3528,0.8172,0.4168,0.983
0.041000,0.3306,0.8238,0.4165,0.981
0.044000,0.3096,0.8309,0.4168,0.980
0.046000,0.2910,0.8372,0.4158,0.979
0.048000,0.2769,0.8443,0.4131,0.980
0.051000,0.2654,0.8497,0.4100,0.980
0.053000,0.2569,0.8575,0.4073,0.983
0.063000,0.2481,0.8624,0.4058,0.985
0.064000,0.2405,0.8656,0.4036,0.985
0.064000,0.2354,0.8705,0.4017,0.987
0.065000,0.2327,0.8744,0.4002,0.989
0.065000,0.2310,0.8775,0.3963,0.990
0.068000,0.2305,0.8785,0.3955,0.991
0.073000,0.2302,0.8790,0.3941,0.990
0.078000,0.2329,0.8790,0.3902,0.990
0.079000,0.2373,0.8792,0.3863,0.989
0.080000,0.2429,0.8768,0.3804,0.986
0.081000,0.2532,0.8726,0.3724,0.982
0.084000,0.2647,0.8680,0.3648,0.978
0.086000,0.2788,0.8643,0.3601,0.977
0.093000,0.2935,0.8585,0.3570,0.975
0.093000,0.3062,0.8529,0.3572,0.974
0.094000,0.3172,0.8524,0.3604,0.978
0.094000,0.3284,0.8502,0.3641,0.981
0.096000,0.3367,0.8477,0.3650,0.982
0.098000,0.3455,0.8473,0.3645,0.985
0.101000,0.3499,0.8468,0.3655,0.986
0.105000,0.3543,0.8477,0.3680,0.990
0.107000,0.3589,0.8502,0.3687,0.994
0.108000,0.3589,0.8524,0.3719,0.997
0.110000,0.3575,0.8565,0.3755,1.001
0.113000,0.3570,0.8565,0.3802,1.003
0.115000,0.3516,0.8607,0.3826,1.005
0.117000,0.3460,0.8621,0.3843,1.005
0.119000,0.3431,0.8617,0.3807,1.003
0.124000,0.3411,0.8609,0.3782,1.000
0.125000,0.3372,0.8607,0.3763,0.998
0.127000,0.3362,0.8592,0.3743,0.996
0.130000,0.3384,0.8580,0.3748,0.996
0.133000,0.3394,0.8590,0.3750,0.997
0.134000,0.3394,0.8568,0.3770,0.996
0.140000,0.3404,0.8570,0.3763,0.996
0.142000,0.3401,0.8563,0.3799,0.997
0.143000,0.3409,0.8553,0.3807,0.996
0.144000,0.3387,0.8556,0.3826,0.997
0.147000,0.3396,0.8541,0.3829,0.996
0.149000,0.3391,0.8538,0.3831,0.995
0.152000,0.3389,0.8521,0.3833,0.994
0.156000,0.3396,0.8497,0.3855,0.993
0.158000,0.3399,0.8463,0.3848,0.990
0.159000,0.3409,0.8431,0.3848,0.987
0.161000,0.3416,0.8397,0.3824,0.984
0.163000,0.3406,0.8397,0.3829,0.984
0.166000,0.3384,0.8390,0.3829,0.982
0.169000,0.3355,0.8392,0.3841,0.982
0.185000,0.3348,0.8412,0.3855,0.984
0.187000,0.3328,0.8419,0.3880,0.985
0.187000,0.3262,0.8443,0.3907,0.986
0.188000,0.3230,0.8502,0.3948,0.991
0.188000,0.3172,0.8541,0.3965,0.994
0.189000,0.3135,0.8565,0.3973,0.995
0.189000,0.3125,0.8595,0.3943,0.996
0.190000,0.3135,0.8597,0.3902,0.995
0.190000,0.3150,0.8592,0.3887,0.994
0.205000,0.3172,0.8578,0.3870,0.993
0.206000,0.3203,0.8558,0.3846,0.991
0.206000,0.3221,0.8548,0.3838,0.991
0.207000,0.3243,0.8558,0.3843,0.993
0.207000,0.3272,0.8538,0.3855,0.992
0.208000,0.3306,0.8521,0.3860,0.992
0.208000,0.3333,0.8529,0.3836,0.993
0.209000,0.3369,0.8512,0.3802,0.991
0.212000,0.3421,0.8514,0.3775,0.992
0.213000,0.3438,0.8548,0.3765,0.995
0.215000,0.3465,0.8556,0.3797,0.998
0.218000,0.3470,0.8563,0.3836,1.000
0.223000,0.3504,0.8573,0.3829,1.002
0.224000,0.3518,0.8580,0.3863,1.005
0.225000,0.3516,0.8597,0.3860,1.006
0.227000,0.3521,0.8607,0.3843,1.006
0.230000,0.3523,0.8607,0.3804,1.005
0.232000,0.3518,0.8592,0.3792,1.003
0.234000,0.3496,0.8617,0.3767,1.003
0.240000,0.3460,0.8639,0.3777,1.004
0.241000,0.3450,0.8629,0.3775,1.003
0.241000,0.3413,0.8661,0.3770,1.004
0.244000,0.3365,0.8678,0.3787,1.005
0.246000,0.3316,0.8690,0.3794,1.005
0.249000,0.3282,0.8702,0.3807,1.005
0.250000,0.3272,0.8705,0.3804,1.005
0.267000,0.3284,0.8707,0.3807,1.005
0.269000,0.3282,0.8683,0.3802,1.003
0.270000,0.3306,0.8656,0.3794,1.001
0.271000,0.3321,0.8631,0.3811,1.000
0.272000,0.3304,0.8612,0.3816,0.998
0.273000,0.3299,0.8626,0.3833,1.000
0.274000,0.3284,0.8614,0.3829,0.998
0.295000,0.3277,0.8607,0.3811,0.997
0.297000,0.3272,0.8609,0.3802,0.996
0.297000,0.3274,0.8617,0.3755,0.995
0.298000,0.3286,0.8604,0.3746,0.994
0.299000,0.3294,0.8590,0.3760,0.994
0.300000,0.3316,0.8585,0.3792,0.995
0.300000,0.3326,0.8551,0.3804,0.993
0.301000,0.3311,0.8531,0.3831,0.992
0.302000,0.3313,0.8538,0.3826,0.993
0.303000,0.3316,0.8526,0.3821,0.991
0.304000,0.3289,0.8543,0.3821,0.992
0.305000,0.3277,0.8548,0.3807,0.991
0.306000,0.3291,0.8578,0.3777,0.993
0.306000,0.3301,0.8563,0.3760,0.992
0.307000,0.3318,0.8558,0.3731,0.991
0.308000,0.3330,0.8546,0.3680,0.988
0.309000,0.3355,0.8531,0.3638,0.986
0.315000,0.3426,0.8497,0.3638,0.986
0.316000,0.3445,0.8485,0.3667,0.986
0.317000,0.3470,0.8504,0.3711,0.991
0.318000,0.3509,0.8516,0.3736,0.994
0.321000,0.3511,0.8556,0.3753,0.998
0.323000,0.3518,0.8585,0.3772,1.002
0.325000,0.3504,0.8621,0.3760,1.004
0.327000,0.3528,0.8653,0.3760,1.007
0.329000,0.3545,0.8673,0.3753,1.009
0.332000,0.3567,0.8663,0.3731,1.008
0.334000,0.3587,0.8658,0.3738,1.009
0.339000,0.3592,0.8697,0.3763,1.013
0.341000,0.3584,0.8712,0.3787,1.015
0.341000,0.3606,0.8714,0.3792,1.016
0.344000,0.3594,0.8717,0.3841,1.018
0.346000,0.3562,0.8744,0.3860,1.020
0.349000,0.3543,0.8741,0.3890,1.020
0.351000,0.3528,0.8753,0.3924,1.022
0.355000,0.3511,0.8748,0.3926,1.021
0.356000,0.3492,0.8734,0.3916,1.019
0.358000,0.3470,0.8726,0.3936,1.018
0.360000,0.3448,0.8700,0.3963,1.016
0.363000,0.3428,0.8668,0.4019,1.015
0.365000,0.3355,0.8661,0.4136,1.017
0.367000,0.3360,0.8651,0.4051,1.013
0.391000,0.3308,0.8631,0.4104,1.011
0.393000,0.3267,0.8626,0.4153,1.012
0.394000,0.3186,0.8665,0.4151,1.012
0.395000,0.3177,0.8646,0.4107,1.009
0.396000,0.3145,0.8631,0.4124,1.007
0.397000,0.3103,0.8636,0.4104,1.005
0.397000,0.3081,0.8624,0.4100,1.003
0.398000,0.3076,0.8651,0.4119,1.006
0.415000,0.3059,0.8656,0.4102,1.006
0.421000,0.3055,0.8656,0.4107,1.006
0.421000,0.3045,0.8668,0.4087,1.006
0.422000,0.2991,0.8680,0.4178,1.009
0.422000,0.3015,0.8661,0.4056,1.003
0.423000,0.3011,0.8722,0.4026,1.007
0.423000,0.3023,0.8700,0.4026,1.005
0.423000,0.3059,0.8685,0.4048,1.006
0.424000,0.3076,0.8680,0.4053,1.006
0.424000,0.3101,0.8690,0.4056,1.008
0.425000,0.3120,0.8668,0.4102,1.008
0.425000,0.3116,0.8687,0.4036,1.007
0.425000,0.3108,0.8690,0.3977,1.005
0.426000,0.3157,0.8670,0.4024,1.007
0.426000,0.3177,0.8643,0.4058,1.006
0.426000,0.3179,0.8629,0.4029,1.004
0.428000,0.3186,0.8600,0.4002,1.001
0.431000,0.3150,0.8636,0.4065,1.005
0.432000,0.3252,0.8560,0.3995,0.999
0.434000,0.3238,0.8548,0.4053,1.000
0.442000,0.3255,0.8526,0.4053,0.999
0.444000,0.3196,0.8543,0.4048,0.998
0.445000,0.3164,0.8563,0.3926,0.994
0.446000,0.3118,0.8541,0.3904,0.990
0.446000,0.3069,0.8600,0.4029,0.998
0.448000,0.3174,0.8568,0.4034,0.999
0.450000,0.3221,0.8621,0.4004,1.004
0.456000,0.3313,0.8629,0.4034,1.008
0.457000,0.3360,0.8641,0.4007,1.010
0.462000,0.3443,0.8643,0.3841,1.007
0.462000,0.3460,0.8700,0.3665,1.005
0.463000,0.3557,0.8661,0.3582,1.002
0.465000,0.3543,0.8724,0.3675,1.011
0.467000,0.3509,0.8766,0.3755,1.016
0.469000,0.3435,0.8758,0.3726,1.012
0.473000,0.3313,0.8785,0.3741,1.011
0.477000,0.3387,0.8729,0.3594,1.003
0.478000,0.3328,0.8712,0.3575,0.999
0.479000,0.3316,0.8683,0.3562,0.995
0.481000,0.3343,0.8668,0.3555,0.995
0.485000,0.3345,0.8629,0.3572,0.992
0.488000,0.3318,0.8612,0.3601,0.991
0.489000,0.3304,0.8580,0.3650,0.989
0.491000,0.3257,0.8543,0.3711,0.987
0.493000,0.3216,0.8504,0.3767,0.984
0.495000,0.3155,0.8463,0.3848,0.982
0.498000,0.3086,0.8458,0.3914,0.982
0.500000,0.3006,0.8409,0.3985,0.978
0.504000,0.2957,0.8375,0.4046,0.976
0.505000,0.2906,0.8350,0.4100,0.975
0.508000,0.2837,0.8331,0.4112,0.971
0.510000,0.2791,0.8302,0.4180,0.970
0.512000,0.2708,0.8289,0.4224,0.969
0.515000,0.2644,0.8289,0.4261,0.969
0.517000,0.2574,0.8280,0.4305,0.968
0.520000,0.2500,0.8275,0.4334,0.967
0.522000,0.2442,0.8263,0.4363,0.966
0.525000,0.2346,0.8250,0.4388,0.963
0.527000,0.2278,0.8231,0.4415,0.961
0.529000,0.2200,0.8228,0.4463,0.962
0.532000,0.2136,0.8228,0.4478,0.961
0.534000,0.2073,0.8211,0.4483,0.958
0.538000,0.2041,0.8189,0.4483,0.956
0.540000,0.2014,0.8158,0.4498,0.953
0.543000,0.1975,0.8128,0.4493,0.949
0.544000,0.1961,0.8097,0.4515,0.948
0.546000,0.1963,0.8038,0.4527,0.943
0.549000,0.1973,0.8016,0.4529,0.942
0.551000,0.1995,0.7989,0.4551,0.941
0.556000,0.2009,0.7970,0.4546,0.939
0.557000,0.2027,0.7960,0.4534,0.938
0.558000,0.2039,0.7940,0.4519,0.936
0.561000,0.2041,0.7940,0.4512,0.936
0.563000,0.2053,0.7945,0.4493,0.936
0.565000,0.2046,0.7972,0.4451,0.936
0.568000,0.2039,0.7992,0.4397,0.935
0.587000,0.2039,0.8004,0.4341,0.933
0.590000,0.2046,0.8040,0.4285,0.934
0.593000,0.2049,0.8072,0.4219,0.934
0.594000,0.2063,0.8126,0.4180,0.937
0.595000,0.2075,0.8158,0.4143,0.938
0.597000,0.2068,0.8214,0.4126,0.942
0.598000,0.2078,0.8280,0.4065,0.946
0.599000,0.2114,0.8333,0.4100,0.952
0.601000,0.2124,0.8385,0.4109,0.958
0.603000,0.2080,0.8465,0.4087,0.963
0.605000,0.2176,0.8482,0.4029,0.964
0.607000,0.2190,0.8541,0.4070,0.971
0.609000,0.2202,0.8614,0.4124,0.980
0.610000,0.2256,0.8653,0.4143,0.986
0.612000,0.2278,0.8690,0.4173,0.991
0.613000,0.2322,0.8714,0.4170,0.994
0.613000,0.2364,0.8724,0.4219,0.997
0.614000,0.2417,0.8712,0.4256,0.999
0.615000,0.2473,0.8668,0.4292,0.998
0.615000,0.2532,0.8653,0.4336,1.000
0.636000,0.2576,0.8597,0.4356,0.998
0.639000,0.2620,0.8556,0.4366,0.996
0.640000,0.2686,0.8509,0.4380,0.994
0.641000,0.2727,0.8451,0.4373,0.990
0.642000,0.2808,0.8385,0.4341,0.985
0.643000,0.2881,0.8297,0.4300,0.978
0.644000,0.2969,0.8221,0.4300,0.974
0.644000,0.3079,0.8165,0.4319,0.974
0.645000,0.3162,0.8126,0.4346,0.974
0.646000,0.3260,0.8084,0.4351,0.974
0.648000,0.3355,0.8057,0.4314,0.974
0.649000,0.3438,0.8028,0.4268,0.972
0.650000,0.3523,0.8011,0.4241,0.973
0.651000,0.3604,0.7989,0.4185,0.971
0.653000,0.3684,0.7974,0.4134,0.971
0.658000,0.3767,0.7967,0.4078,0.971
0.658000,0.3855,0.7960,0.4017,0.971
0.660000,0.3941,0.7918,0.3965,0.969
0.663000,0.4026,0.7901,0.3916,0.969
0.663000,0.4124,0.7860,0.3838,0.967
0.665000,0.4209,0.7823,0.3787,0.966
0.667000,0.4251,0.7818,0.3743,0.965
0.684000,0.4317,0.7808,0.3687,0.965
0.686000,0.4368,0.7782,0.3604,0.962
0.686000,0.4424,0.7723,0.3543,0.958
0.687000,0.4476,0.7684,0.3465,0.954
0.687000,0.4546,0.7640,0.3426,0.953
0.688000,0.4588,0.7589,0.3369,0.949
0.688000,0.4656,0.7537,0.3289,0.945
0.694000,0.4749,0.7469,0.3282,0.944
0.695000,0.4881,0.7410,0.3316,0.947
0.695000,0.4969,0.7391,0.3328,0.951
0.696000,0.5079,0.7357,0.3321,0.954
0.696000,0.5193,0.7347,0.3306,0.959
0.698000,0.5269,0.7369,0.3340,0.966
0.700000,0.5323,0.7410,0.3345,0.972
0.705000,0.5384,0.7452,0.3348,0.978
0.706000,0.5420,0.7535,0.3340,0.986
0.712000,0.5457,0.7611,0.3269,0.992
0.713000,0.5560,0.7703,0.3252,1.004
0.713000,0.5621,0.7830,0.3267,1.018
0.715000,0.5643,0.7996,0.3284,1.032
0.718000,0.5674,0.8121,0.3272,1.043
0.730000,0.5745,0.8231,0.3262,1.055
0.732000,0.5840,0.8353,0.3213,1.069
0.732000,0.5921,0.8477,0.3194,1.082
0.733000,0.5972,0.8600,0.3150,1.093
0.733000,0.6070,0.8634,0.2910,1.095
0.734000,0.6185,0.8614,0.2478,1.089
0.734000,0.6341,0.8731,0.2097,1.099
0.740000,0.6575,0.8900,0.1948,1.124
0.742000,0.6844,0.9183,0.2195,1.166
0.742000,0.7078,0.9498,0.2622,1.213
0.744000,0.7315,0.9764,0.3064,1.258
0.747000,0.7498,0.9972,0.3494,1.296
0.749000,0.7557,1.0094,0.3931,1.321
0.751000,0.7645,1.0106,0.3997,1.329
0.753000,0.7611,1.0108,0.4107,1.330
0.756000,0.7657,1.0018,0.4053,1.324
0.763000,0.7618,0.9796,0.3887,1.300
0.764000,0.7486,0.9544,0.3662,1.267
0.764000,0.7445,0.9247,0.3431,1.236
